"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,1.59612874531709513e+04,1.59612874531709513e+04,9.91769298368114569e-05,1.39479748463921971e+00,"1,9",1.2055990799854044
1,2,1.59572052388784450e+04,1.59572052388784450e+04,1.19012315804173737e-04,6.31021759149525185e-01,"1,9",2.4177536939969286
2,3,1.59523999960280544e+04,1.59523999960280544e+04,1.42814778965008469e-04,7.57226110979430156e-01,"1,9",3.5895210730086546
3,4,1.59466416031093268e+04,1.59466416031093268e+04,1.71377734758010168e-04,9.08671333175316120e-01,"1,9",4.7650339099927805
10,11,1.58598378374948625e+04,1.58598378374948625e+04,2.58273254783363199e-09,1.36300699976297401e-01,"1,7,9",13.098204538982827
20,21,1.52820813423398122e+04,1.52820813423398122e+04,2.46308569701541136e-15,7.63865282110998467e-01,"1,7,9",24.97811551199993
30,31,1.23620722427597811e+04,1.23620722427597811e+04,3.07885712126926421e-16,2.65850118937366597e-01,"1,7,8,9",36.83811661900836
40,41,3.49803331911175883e+03,3.49803331911175883e+03,3.07885712126926421e-16,1.10911767097772884e+00,"1,9",48.688529831997585
50,51,9.15834774796301865e+00,9.15834774796301865e+00,8.26474415306762236e-08,4.76978905684637799e-01,"2",60.54615012399154
60,61,1.99225031310510903e+00,1.99225031310510903e+00,8.07103921198009996e-11,1.48359518824149716e-01,"2,7",72.38321691300371
70,71,1.98807880636045575e+00,1.98807880636045575e+00,3.07885712126926421e-16,3.20456560660163370e-02,"2,7",84.086071970989
80,81,1.98805673294406260e+00,1.98805673294406260e+00,3.07885712126926421e-16,2.88410904594146996e-03,"2,7",95.7740364119818
90,91,1.98804668414104646e+00,1.98804668414104646e+00,3.07885712126926421e-16,6.41374438220787026e-04,"2,7",107.55519272200763
100,101,1.98798491454216442e+00,1.98798491454216442e+00,3.07885712126926421e-16,3.97122146952798467e-03,"2,7",119.35964231399703
110,111,1.98759194111234971e+00,1.98759194111234971e+00,3.07885712126926421e-16,2.45887566142932654e-02,"2,7",131.10759375599446
120,121,1.98469435820573614e+00,1.98469435820573614e+00,3.07885712126926421e-16,1.52247099910248457e-01,"2,7",142.95854191100807
130,131,1.90984051057941762e+00,1.90984051057941762e+00,3.07885712126926421e-16,9.42673913719056955e-01,"2,7",154.8016211130016
140,141,2.96658981006240219e-01,5.42910226846486821e-01,1.19012315804173753e-07,7.95928497732750873e-01,"",166.74622554000234
150,151,2.02870844142968826e-01,2.02870844142968826e-01,7.36892890478873707e-07,3.43841111020548318e-01,"",178.88854589298717
160,161,1.26794076659172361e-01,1.26794076659172361e-01,4.04260776009294094e-06,1.36160599935649440e-01,"",190.94807625198155
170,171,9.79000194320859274e-02,9.79000194320859274e-02,4.54936674876936944e-06,5.54420190266773569e-02,"",202.98303492099512
180,181,9.03849622921797380e-02,9.03849622921797380e-02,9.78072215180929657e-06,9.14790088886062794e-03,"",214.92042961600237
190,191,9.02537427872836112e-02,9.02537427872836112e-02,6.05596535847320990e-05,2.03416090462406373e-03,"",226.95370240398915
200,201,8.98036869547399613e-02,8.98036869547399613e-02,4.52075391623881596e-05,9.65670936909017105e-03,"",239.06324650900206
210,211,8.82083774870825316e-02,8.82083774870825316e-02,2.00244979867687006e-05,5.97917991211269068e-02,"",251.05789748899406
220,221,8.74682757617825102e-02,8.74682757617825102e-02,4.30508380294969552e-05,3.70215060379105620e-01,"",263.1346823060012
230,231,4.49901118467776265e-02,4.49901118467776265e-02,1.95789874633587403e-04,7.95928497732750873e-01,"",275.1529282069823
240,241,3.64072526886623782e-02,3.64072526886623782e-02,2.11453064604274339e-05,1.43267129591895137e-01,"",287.16809310298413
250,251,1.81749231642585607e-02,1.81749231642585607e-02,1.09105136811532108e-04,1.06948339171831330e-01,"",299.2251655829896
260,261,1.10803298172875830e-02,1.10803298172875830e-02,4.81173195899504351e-04,2.77210095133386784e-02,"",311.28775584098184
270,271,1.01180792062349895e-02,1.01180792062349895e-02,2.58619583553261348e-04,5.46202634849993901e-03,"",323.2896274669911
280,281,1.00220784151858200e-02,1.00220784151858200e-02,5.44639203748124723e-05,3.21827220505192324e-03,"",335.33851178199984
290,291,1.00066180509729864e-02,1.00066180509729864e-02,2.08503163415709349e-05,1.39029359258243074e-03,"",347.30919428900233
300,301,1.00064233909965862e-02,1.00064233909965862e-02,4.50366832977932152e-06,1.67130482820273244e-04,"",359.3454692729865
310,311,1.00063520027823608e-02,1.00063520027823608e-02,7.90373998808015010e-07,9.34063745119572466e-05,"",371.4238336769922
