"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,1.34709848404088960e+05,1.34709848404088960e+05,3.41871333221738404e-05,7.76638464161656827e+00,"4",1.1731363180151675
1,2,1.34661626712241181e+05,1.34661626712241181e+05,4.10245599866086098e-05,4.65983078496994096e+00,"4,6",2.3834833140135743
2,3,1.34661626712241181e+05,4.39713583968692168e+05,4.63062706239157669e-05,2.32991539248497048e+00,"4",3.562110389000736
3,4,1.34661626712241181e+05,4.39697935341906967e+05,4.63062706239157669e-05,2.32991539248497048e+00,"4",4.750607865018537
10,11,1.34399357712144119e+05,1.34399357712144119e+05,2.22093178870834453e-07,4.19384770647294625e-01,"4",13.040818444016622
20,21,1.32648276453526632e+05,1.32648276453526632e+05,8.69423760024359090e-13,2.89748238888482113e-01,"3,4",24.94703050100361
30,31,1.23347282630412708e+05,1.23347282630412708e+05,4.24523320324394087e-16,1.00063945339746008e+00,"3,4,6",37.641310572013026
40,41,8.05656710336899705e+04,8.05656710336899705e+04,4.24523320324394087e-16,7.62138700009335812e-01,"3,4,6,9",50.163068224996096
50,51,6.25030221704756059e+03,6.25030221704756059e+03,4.24523320324394087e-16,9.64609161647423829e-01,"2,3,4,6,9",62.58096785101225
60,61,9.26710292596008145e+00,9.26710292596008145e+00,4.24523320324394087e-16,1.06780037293712859e+00,"2,3,4,6",74.59290643400163
70,71,9.33169256059318442e-01,9.33169256059318442e-01,2.84892777684781987e-08,2.76773856665303741e-01,"",86.67972644302063
80,81,8.89267167660125368e-01,8.89428209889612909e-01,4.24523320324394087e-16,2.49096470998773321e-02,"3",98.68535894100205
90,91,8.88694062234306692e-01,8.88694062234306692e-01,4.24523320324394087e-16,2.24186823898895942e-03,"3",110.7654964630201
100,101,8.88687609407022072e-01,8.88687609407022072e-01,4.24523320324394087e-16,5.81092247545938133e-04,"3",122.87666721400456
110,111,8.88686382448190315e-01,8.88686382448190315e-01,4.24523320324394087e-16,1.80045076576574198e-04,"3",134.90559487201972
120,121,8.88679086756522740e-01,8.88679086756522740e-01,4.24523320324394087e-16,1.11479165831297094e-03,"3",146.83374088600976
130,131,8.88633327297991049e-01,8.88633327297991049e-01,4.24523320324394087e-16,6.90249611416411495e-03,"3",159.05421975400532
140,141,8.88322047930018788e-01,8.88322047930018788e-01,4.24523320324394087e-16,4.27384365955443893e-02,"3",171.26856826801668
150,151,8.84754912023807627e-01,8.84754912023807627e-01,4.24523320324394087e-16,2.64625134505065140e-01,"3",183.62709017802263
