"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,2.45059506114959186e+04,2.45059506114959186e+04,1.22674146230534468e-05,8.19898334877306789e-01,"3",1.1436944919987582
1,2,2.45014933666970501e+04,2.45014933666970501e+04,1.47208975476641361e-05,9.83878001852768080e-01,"3",2.3020313829765655
2,3,2.45014933666970501e+04,2.45021168133741012e+04,1.76650770571969620e-05,1.18065360222332161e+00,"3",3.453062267974019
3,4,2.44981987497352238e+04,2.44981987497352238e+04,2.11980924686363544e-05,1.41678432266798593e+00,"3",4.603939292981522
10,11,2.44447894851915553e+04,2.44447894851915553e+04,8.63815195755807561e-09,6.12050827392569885e-01,"3",12.864889063988812
20,21,2.41621054694754603e+04,2.41621054694754603e+04,9.74926521226044388e-15,7.60019311814365550e-01,"3",24.694955396000296
30,31,2.28661909300885818e+04,2.28661909300885818e+04,3.04664537883138871e-16,4.78945773880184278e-01,"3,4,6,7",36.671683938999195
40,41,1.96365377540542431e+04,1.96365377540542431e+04,3.04664537883138871e-16,8.84051278348195468e-02,"3,4,6,7,9",48.73278292597388
50,51,7.60102389145794405e+03,7.60102389145794405e+03,3.04664537883138871e-16,5.47381249941779946e-01,"3,4,6,7,9",60.9167529779952
60,61,1.34674336929931485e+02,1.34674336929931485e+02,3.04664537883138871e-16,6.91238321548751311e-01,"3,9",72.77241657397826
70,71,2.61667581540020215e+01,2.61667581540020215e+01,3.04664537883138871e-16,1.79168972945436322e-01,"3",84.35707800197997
80,81,1.74155470253110600e+00,1.75384936690268534e+00,4.39563645429643355e-08,1.57823177706709200e-01,"5",95.84865317097865
90,91,1.73376184335635419e+00,1.73376184335635419e+00,2.72166223336964045e-07,1.20374029465088721e-02,"5",107.31416442099726
100,101,1.73373302304396359e+00,1.73373302304396359e+00,9.98324757735469453e-12,1.08336626518579834e-03,"5",118.75861092397827
110,111,1.73373185192004664e+00,1.73373185192004664e+00,3.04664537883138871e-16,2.80808535936158908e-04,"5",130.24530367099214
120,121,1.73372683676237282e+00,1.73372683676237282e+00,3.04664537883138871e-16,8.29485985858500119e-04,"5",141.72939353398397
130,131,1.73369544650815666e+00,1.73369544650815666e+00,3.04664537883138871e-16,5.13595859051044473e-03,"5",153.14282768499106
140,141,1.73348700908172249e+00,1.73348700908172249e+00,3.04664537883138871e-16,3.18005018688016783e-02,"5",164.6363825139997
150,151,1.73143990536666736e+00,1.73143990536666736e+00,3.04664537883138871e-16,1.96900325671658577e-01,"5",176.09579587899498
160,161,1.58900420897885386e+00,1.59948684830450349e+00,3.04664537883138871e-16,7.05529466460433907e-01,"5",187.5196934209962
170,171,1.32173770203838248e+00,1.32173770203838248e+00,1.22674146230534490e-08,8.46635359752520689e-01,"",199.0199905759946
