"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,1.89630237015417988e+04,1.89630237015417988e+04,6.86106880485957954e-05,1.05575846527833548e+01,"0",1.212100692995591
1,2,1.89630237015417988e+04,3.10560679645767632e+04,8.23328256583149491e-05,5.27879232639167739e+00,"0",2.4279146869957913
2,3,1.89630237015417988e+04,3.10477634612125294e+04,9.87993907899779335e-05,5.27879232639167739e+00,"0",3.625451472995337
3,4,1.49684036853695543e+04,1.49684036853695543e+04,1.18559268947973512e-04,3.16727539583500617e+00,"0,5",4.885271334002027
10,11,1.02727709001481653e+04,1.03174421304968091e+04,3.28389307401004355e-08,1.97954712239687886e-01,"0,9",13.239796137000667
20,21,9.89065040582402798e+03,9.89065040582402798e+03,2.72634379262112745e-14,3.98078566980769655e-01,"0,6,9",25.22950749998563
30,31,8.07820286856805069e+03,8.07820286856805069e+03,4.25991217597051164e-16,2.94883119455221610e-01,"0,3,4,6,9",37.24506916999235
40,41,3.01573013036234852e+03,3.01573013036234852e+03,4.25991217597051164e-16,2.35546820643816601e-01,"3,4,6,9",49.24227162997704
50,51,1.71536092092521848e+01,1.71536092092521848e+01,4.25991217597051164e-16,6.24387323015336615e-01,"3,6",61.06187293998664
60,61,2.84012186154841517e+00,2.84012186154841517e+00,1.70725347285081859e-07,1.22668305752553983e-01,"",72.56203093199292
70,71,2.83861707594352275e+00,2.83861707594352275e+00,1.05708635101193019e-06,9.15713995710585177e-02,"",83.95750525797484
80,81,2.83713874368423946e+00,2.83713874368423946e+00,6.54520006118247857e-06,6.83576834941968803e-02,"",95.45224577598856
90,91,2.83525464696924745e+00,2.83525464696924745e+00,4.05261536107182391e-05,1.90891119134558550e-02,"",106.87848333700094
100,101,2.83518690558666986e+00,2.83518690558666986e+00,7.14310821913374908e-05,5.51110362814986963e-03,"",118.28233586999704
110,111,2.83494337657923312e+00,2.83494337657923312e+00,7.71455687666444871e-06,1.99479261563964595e-02,"",129.71626405598363
120,121,2.83294189151259301e+00,2.83294189151259301e+00,7.10060457422510251e-06,1.23512300933905569e-01,"",141.0990019289893
130,131,2.72584454177704716e+00,2.72584454177704716e+00,8.65684200482038463e-06,7.64755612306892485e-01,"",152.4851307029894
140,141,1.43262180217904667e+00,1.54721948588395297e+00,2.21818196349125194e-05,9.17706734768270915e-01,"",163.88436162198195
150,151,1.02031824144608541e+00,1.02031824144608541e+00,1.38933491183388650e-05,6.85064406677575066e-01,"",175.28833702899283
160,161,8.87215751121993468e-01,9.12502463033774247e-01,8.60239557651376602e-05,1.77568694210827438e-01,"",186.73574448298314
170,171,8.50763646659412620e-01,8.50763646659412620e-01,5.32637660109929151e-04,4.08149883677003944e-02,"",198.1778767639771
