"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,2.37376071209263813e+05,2.37376071209263813e+05,3.57431152075853402e-05,6.53562594926283591e+00,"4",1.1941670099913608
1,2,2.37334123978444724e+05,2.37334123978444724e+05,4.28917382491024069e-05,3.92137556955770128e+00,"1,4",2.38687531198957
2,3,2.37334123978444724e+05,2.40738348353549722e+05,5.14700858989228897e-05,1.96068778477885064e+00,"",3.6161293300101534
3,4,2.37334123978444724e+05,2.40702008808913990e+05,6.17641030787074622e-05,1.96068778477885064e+00,"",4.82954391601379
10,11,2.36694306492031872e+05,2.36694306492031872e+05,2.21311948280845391e-04,8.47017123024463525e-01,"",13.232171992014628
20,21,2.33515865174722974e+05,2.33515865174722974e+05,4.77034827988217528e-07,4.42533101307610921e-01,"4",25.205479941010708
30,31,2.17140694476551405e+05,2.17140694476551405e+05,2.27248606412158595e-13,6.55130902844234392e-02,"2,4,8",37.2705266319972
40,41,1.38881392638666381e+05,1.38881392638666381e+05,4.43844934398747256e-16,1.69016578024185016e-01,"2,4,8",49.44087959101307
50,51,8.74053834065082447e+03,8.74053834065082447e+03,4.43844934398747256e-16,8.59236792361779411e-01,"2,4,8",61.632387020013994
60,61,3.41942372510493575e+00,3.41942372510493575e+00,4.43844934398747256e-16,4.61255505566821045e-01,"2,3",73.77164980501402
70,71,9.84282641133190417e-01,9.84282641133190417e-01,1.28074044144007737e-07,1.68741925752473182e-01,"",85.74816194700543
80,81,6.94478772850058101e-01,6.94478772850058101e-01,7.93000723890517868e-07,2.81450566255560530e-01,"",97.81779431499308
90,91,6.91010501658861354e-01,6.91010501658861354e-01,4.91005146510248360e-06,2.53305509630004470e-02,"",109.95423850600491
100,101,6.90849486859736794e-01,6.90849486859736794e-01,3.04017444923335140e-05,4.14288376972124298e-02,"",121.9978295660112
110,111,6.90531449040846290e-01,6.90531449040846290e-01,3.42509166383483674e-05,2.56516443307528208e-01,"",134.0974526279897
120,121,6.52678772053005507e-01,6.52678772053005507e-01,4.45844472530090241e-06,5.51486876726294040e-01,"",146.1371365530067
130,131,6.46465419246202599e-01,6.46465419246202599e-01,2.30045954940856273e-05,5.95605826864397461e-02,"",158.0541834750038
140,141,6.28054105856087674e-01,6.28054105856087674e-01,1.42438391803308839e-04,1.11187144500968199e-01,"",170.02170612101327
150,151,5.88981338044304414e-01,5.88981338044304414e-01,8.17422642758063402e-04,6.88441492309296521e-01,"",182.0589391849935
