"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,1.32891251188233669e+05,1.32891251188233669e+05,3.32920495170350365e-05,8.28088327789070489e-01,"9",1.1401468009862583
1,2,1.32868899377176363e+05,1.32868899377176363e+05,3.99504594204420398e-05,9.93705993346884586e-01,"9",2.2813721889979206
2,3,1.32842258491533517e+05,1.32842258491533517e+05,4.79405513045304477e-05,5.96223596008130685e-01,"3,9",3.435525784996571
3,4,1.32810432038136903e+05,1.32810432038136903e+05,5.75286615654365359e-05,1.80662586402921016e-01,"3,9",4.591975105984602
10,11,1.32302983184942219e+05,1.32302983184942219e+05,4.38360530243549057e-07,6.47346710877287568e-01,"3,9",12.5604480659822
20,21,1.29016315168166344e+05,1.29016315168166344e+05,2.11665150432809455e-13,1.11201017159882246e-01,"3,5,9",23.95953799597919
30,31,1.11204927194414180e+05,1.11204927194414180e+05,4.13408496939080967e-16,2.86886411731987534e-01,"3,5,9",35.332506917999126
40,41,5.95615269202496856e+04,5.95615269202496856e+04,4.13408496939080967e-16,6.07833998215263516e-01,"3,5,9",46.68335626999033
50,51,3.81191657932854650e+03,3.81191657932854650e+03,4.13408496939080967e-16,6.52614336471338041e-01,"3,5,6,9",58.14030416100286
60,61,2.84872606527793781e+00,3.94280069359266472e+00,2.77433745975292009e-08,1.31516877422514833e+00,"2",69.56019689299865
70,71,2.23515910047000999e+00,2.31026172372465188e+00,8.32301237925876060e-09,3.40891746279158414e-01,"2",80.91633782099234
80,81,2.21378098705795034e+00,2.21378098705795034e+00,1.32290719020505909e-14,8.83591406355578451e-02,"5",92.29267569398507
90,91,2.21361508799100370e+00,2.21361508799100370e+00,4.13408496939080967e-16,4.98779581759146648e-03,"2,5",103.67940457098302
100,101,2.21360639078964994e+00,2.21360669652126596e+00,4.13408496939080967e-16,5.38681948299878349e-04,"2,5",115.18836713099154
110,111,2.21360514485799520e+00,2.21360514485799520e+00,4.13408496939080967e-16,7.53891878057271121e-04,"2,5",126.64591511900653
120,121,2.21359690598210834e+00,2.21359690598210834e+00,4.13408496939080967e-16,4.66789979991874375e-03,"2,5",138.02321925398428
130,131,2.21354428334620934e+00,2.21354428334620934e+00,4.13408496939080967e-16,2.89024052072705435e-02,"2,5",149.41261846400448
140,141,2.21313617715727817e+00,2.21313617715727817e+00,4.13408496939080967e-16,1.78956075016820343e-01,"2,5",160.88722819800023
150,151,2.18173564029693745e+00,2.18173564029693745e+00,4.13408496939080967e-16,1.10804884769139278e+00,"2,5",172.274156717991
160,161,1.95117490084556322e+00,2.77486723261193058e+00,4.13408496939080967e-16,6.64829308614835690e-01,"2",183.70626804998028
170,171,1.84777513745594346e+00,1.84777513745594346e+00,4.13408496939080967e-16,5.98346377753352088e-02,"2",195.06993429898284
180,181,1.71306487681767261e+00,1.71306487681767261e+00,4.13408496939080967e-16,5.55720459051980697e-02,"2",206.4023368319904
190,191,1.46592887540222483e+00,1.47005450175125674e+00,4.13408496939080967e-16,8.00237461034852132e-02,"2",217.8120185029984
200,201,1.35420561072437939e+00,1.35420561072437939e+00,4.13408496939080967e-16,1.14173661209286820e-01,"2",229.22234297799878
210,211,1.29603394865315047e+00,1.29603394865315047e+00,6.90343938785238497e-08,2.45462922426492730e-01,"5",240.60629492800217
220,221,1.23475542393336735e+00,1.23475542393336735e+00,3.32920495170350424e-08,5.27722818450298781e-01,"",252.01958773800288
230,231,1.23322447385232015e+00,1.23322447385232015e+00,8.66980456172787528e-10,1.24250693684212956e-02,"2,7",263.43606423799065
240,241,1.23317417485318859e+00,1.23317545010115448e+00,1.32290719020505909e-14,1.11825624315791653e-03,"2,7",274.80379020399414
250,251,1.23317306988541797e+00,1.23317306988541797e+00,4.13408496939080967e-16,3.03780607091222639e-04,"2,7",286.1679236140044
260,261,1.23317252207848793e+00,1.23317252207848793e+00,4.13408496939080967e-16,7.87399333580448977e-05,"2,7",297.5005801069783
270,271,1.23316935101778502e+00,1.23316935101778502e+00,4.13408496939080967e-16,3.02972237516585920e-04,"2,7",308.86905974597903
280,281,1.23314971788451722e+00,1.23314971788451722e+00,4.13408496939080967e-16,1.87592423800746872e-03,"2,7",320.2432323349931
290,291,1.23302507945783235e+00,1.23302507945783235e+00,4.13408496939080967e-16,1.16152284301338053e-02,"2,7",331.57059081600164
300,301,1.23212329040344670e+00,1.23212329040344670e+00,4.13408496939080967e-16,7.19184329253554078e-02,"2,7",342.9131905969989
310,311,1.22079957711063147e+00,1.22079957711063147e+00,4.13408496939080967e-16,4.45299980585854294e-01,"2,7",354.2706926029932
320,321,8.90260066629465552e-01,8.90260066629465552e-01,4.13408496939080967e-16,3.32414654307417845e-01,"7",365.75040707498556
330,331,8.72141975756362320e-01,8.72141975756362320e-01,4.13408496939080967e-16,2.99173188876676044e-02,"7",377.39838942699134
340,341,8.37990070215114846e-01,8.37990070215114846e-01,4.13408496939080967e-16,2.51953861486076403e-02,"7",389.0687376949936
350,351,6.54953710990035631e-01,6.54953710990035631e-01,4.13408496939080967e-16,1.03562543412511782e-01,"7",400.703682901978
360,361,1.27596566747643025e-01,1.27596566747643025e-01,1.19291432622089224e-07,7.73090244072663774e-02,"",412.4266288240033
370,371,9.01659537972138020e-02,9.01659537972138020e-02,7.38621108246465228e-07,7.70579739184761303e-02,"",424.0975739239948
380,381,8.80619751533709555e-02,8.80640164989770768e-02,4.57334721828309014e-06,6.93521765266285131e-03,"",435.81867239499115
390,391,8.80390505982849708e-02,8.80390505982849708e-02,2.83169605437251201e-05,2.00711147272712130e-02,"",447.48392614899785
400,401,8.79875730533918460e-02,8.79875730533918460e-02,8.66562407238246138e-06,1.24275052095014132e-01,"",459.12490735700703
410,411,8.50876105938506710e-02,8.50876105938506710e-02,4.49225951912306750e-06,7.69478366452356122e-01,"",470.82886949999374
420,421,4.71304032086808308e-02,4.86393134276706801e-02,2.78148868834274038e-05,2.39338551101340835e-01,"",482.5641107039992
430,431,4.38985787898327692e-02,4.38985787898327692e-02,3.76038436421805412e-05,2.15404695991206728e-02,"",494.29760896399966
440,441,3.91259790927433668e-02,3.91259790927433668e-02,2.32833088301523833e-04,3.10687630237535331e-02,"",506.102427100006
450,451,3.60749598742128724e-02,3.60749598742128724e-02,3.24157499636229288e-05,1.92369591613089030e-01,"",517.8362771949905
460,461,2.62220392806866535e-02,2.62220392806866535e-02,2.01651897373705507e-05,4.96292419563740261e-01,"",529.5669760559977
