"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,8.25675995067578151e+03,8.25675995067578151e+03,2.56837949332595595e-05,3.01539385562728501e+00,"",1.1777554849977605
1,2,7.74051679040849376e+03,7.74051679040849376e+03,3.08205539199114714e-05,3.61847262675274184e+00,"6",2.350352278997889
2,3,7.48151552131343487e+03,7.48151552131343487e+03,3.69846647038937643e-05,1.80923631337637092e+00,"5,6",3.5031207549909595
3,4,7.48151552131343487e+03,7.50446983613469274e+03,4.43815976446725144e-05,1.80923631337637092e+00,"6",4.671604356990429
10,11,7.42454323160759759e+03,7.42454323160759759e+03,1.33769765277393542e-09,1.10446190778731590e+00,"6",12.730667116993573
20,21,7.00868233801559290e+03,7.00868233801559290e+03,7.66914007299940938e-08,4.45654334634937699e-01,"3",24.283860763011035
30,31,5.10928786673151535e+03,5.10928786673151535e+03,1.33769765277393542e-09,1.27636669606964426e+00,"3",35.86379206398851
40,41,1.13202098986180317e+03,1.13202098986180317e+03,3.18931973641857008e-16,2.55877658869495206e-01,"2,3,4,5",47.50625466098427
50,51,9.80417654689869096e+01,9.80417654689869096e+01,3.18931973641857008e-16,1.58432702010069604e+00,"2,3,4,5",59.34902980699553
60,61,2.31031900597564954e+00,2.31031900597564954e+00,3.26586341009261576e-13,5.02506251265844472e-01,"2",70.84818512698985
70,71,2.20680320826446064e+00,2.20680320826446064e+00,3.08205539199114717e-08,4.52255626139260042e-02,"",82.30782666400773
80,81,2.20559822347611245e+00,2.20559822347611245e+00,1.90832746264458884e-07,6.37616827875564091e-02,"",93.7841289450007
90,91,2.19556134440105843e+00,2.19556134440105843e+00,1.18158606563226732e-06,3.94795533669227983e-01,"",105.26407520798966
100,101,1.53468432592834780e+00,1.53468432592834780e+00,6.87458628151926751e-06,2.94713286701943966e-01,"",116.7306273689901
110,111,1.32241293472924704e+00,1.32241293472924704e+00,4.25656262682142048e-05,1.02579083449620478e+00,"",128.2210999869858
120,121,1.22661800469504723e+00,1.22661800469504723e+00,3.38156520902006512e-05,9.23211751046584123e-02,"",139.6949673469935
130,131,1.21673922438607840e+00,1.21673922438607840e+00,6.68848826386967708e-10,2.22973190052980566e-02,"2",151.15637711598538
140,141,1.16586891193487485e+00,1.16586891193487485e+00,3.18931973641857008e-16,1.38059122206975721e-01,"2",162.60243324699695
150,151,9.58828112692508561e-01,9.58828112692508561e-01,6.39095006083284159e-08,8.54825695413504061e-01,"",174.12599802398472
160,161,5.11500593099743384e-01,5.79024800315450672e-01,2.14031624443829667e-08,6.15474500697722804e-01,"",185.76998952100985
