"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,1.08705153919623559e+06,1.08705153919623559e+06,1.21619931904787590e-05,4.91511368986668085e-01,"",1.1983773529937025
1,2,1.08701295083198836e+06,1.08701295083198836e+06,1.45943918285745094e-05,5.89813642784001724e-01,"",2.4088941059890203
2,3,1.08696681180154113e+06,1.08696681180154113e+06,1.75132701942894106e-05,7.07776371340802068e-01,"",3.6318769789941143
3,4,1.08691103579853987e+06,1.08691103579853987e+06,2.10159242331472914e-05,8.49331645608962460e-01,"",4.834046834002947
10,11,1.08564465372153488e+06,1.08564465372153488e+06,7.53038562064680642e-05,5.43368088518892067e-01,"9",13.371512207988417
20,21,1.07987526260934398e+06,1.07987526260934398e+06,7.48558152798930867e-08,3.96264172575317500e-02,"3,9",25.52580371699878
30,31,1.04623984990157839e+06,1.04623984990157839e+06,9.66548378505608282e-15,2.16327079189116422e-01,"3,9",37.804805582010886
40,41,8.80481867009041947e+05,8.80481867009041947e+05,3.02046368283002588e-16,7.72494278807383195e-01,"3,9",50.159995018999325
50,51,3.45750975858506805e+05,3.45750975858506805e+05,3.02046368283002588e-16,8.65798683905470434e-01,"2,3,9",61.9384668339917
60,61,1.03782416499077158e+03,1.03782416499077158e+03,3.02046368283002588e-16,6.85298085863616735e-01,"2,3,9",73.44283950899262
70,71,2.15639586805674588e+00,2.15639586805674588e+00,1.01349943253989671e-08,2.97950232955659700e-01,"",84.92523111199262
80,81,1.69121657191224939e+00,1.70548443826260132e+00,1.21619931904787602e-08,2.39886170499390983e-01,"",96.45956628400018
90,91,1.15357331198885604e+00,1.15357331198885604e+00,3.02629308957321026e-08,5.15733312191366422e-01,"",108.14700234599877
100,101,6.06545968262787505e-01,6.06545968262787505e-01,1.87380091475678655e-07,2.00703222732590364e-01,"",119.87843069699011
110,111,1.16414730090036445e-01,1.16414730090036445e-01,1.16020813722260270e-06,6.24267303987448910e-02,"",131.69132448500022
120,121,1.03296215453336407e-01,1.03543081549563223e-01,7.18370298080604391e-06,2.58656063400562013e-02,"",143.46716887300136
130,131,1.02935448270540048e-01,1.02935448270540048e-01,4.44795953939602074e-05,2.79348548472606968e-03,"",155.26217246201122
140,141,1.02924434303957160e-01,1.02924434303957160e-01,4.02116583605462808e-05,1.05584023939234804e-02,"",167.02971799700754
150,151,1.02875370488765161e-01,1.02875370488765161e-01,8.46500582134753010e-06,6.53748446648113324e-02,"",178.76215037400834
160,161,1.02029781311124668e-01,1.02029781311124668e-01,8.00973966192626560e-06,4.04783806819854541e-01,"",190.57251622001058
170,171,6.13157683580924651e-02,6.13157683580924651e-02,2.80584484627647212e-05,7.25206782373905567e-01,"",202.34659635499702
180,181,5.86672160350614688e-02,5.86672160350614688e-02,1.73730517302933567e-04,4.88020600429029880e-02,"",214.145765416004
190,191,4.97578793498233279e-02,4.97578793498233279e-02,6.60181415084676944e-04,3.02169492655794014e-01,"",226.00730748201022
200,201,2.36470502906046716e-02,2.36470502906046716e-02,2.05342827347937895e-04,2.70681981107495417e-01,"",237.8361414450046
210,211,1.33103138427600118e-02,1.33103138427600118e-02,1.02921668386640871e-03,3.90975292760152443e-02,"",249.5582346940064
220,221,1.07152394477551781e-02,1.07152394477551781e-02,3.20127557349807656e-04,1.03433511009867266e-02,"",261.4021328779927
230,231,1.00909694587450523e-02,1.00909694587450523e-02,6.91475523875584585e-05,1.13129424988470031e-02,"",273.182136391988
240,241,1.00618427479470477e-02,1.00618427479470477e-02,5.16183712671028353e-05,2.93231469570114306e-03,"",285.06585798499873
250,251,1.00613754019327744e-02,1.00613754019327744e-02,5.57478409684710609e-06,2.63908322613102880e-04,"",296.90440533999936
260,261,1.00613439001594855e-02,1.00613439001594855e-02,3.46796169096664737e-06,5.20382253480548921e-05,"",308.72851315900334
270,271,1.00613425449409977e-02,1.00613425449409977e-02,5.23535353436477314e-07,5.62012833758992835e-06,"",320.50983451798675
280,281,1.00613425437781796e-02,1.00613427110042807e-02,8.09006103268699406e-08,1.91490324995863833e-06,"",332.3030847829941
290,291,1.00613425437781796e-02,1.00613427173778767e-02,1.01349943253989671e-08,4.96342922389279052e-07,"",344.1333257530059
300,301,1.00613425437781796e-02,1.00613427179447740e-02,1.01349943253989671e-08,3.08765005159922591e-07,"",355.8685762610112
310,311,1.00613423990108513e-02,1.00613426871812052e-02,1.01349943253989671e-08,2.77888504643930297e-08,"",367.6826777420065
320,321,1.00613423990108513e-02,1.00613429902999003e-02,1.01349943253989671e-08,1.21619931904787602e-08,"",379.50128441798734
330,331,1.00613423990108513e-02,1.00613426738404652e-02,1.01349943253989671e-08,1.21619931904787602e-08,"",391.2774742539914
340,341,1.00613423990108513e-02,1.00613429480159219e-02,1.01349943253989671e-08,1.01349943253989671e-08,"",403.0584160340077
350,351,1.00613423990108513e-02,1.00613428235963379e-02,1.01349943253989671e-08,1.45943918285745116e-08,"",414.850089309999
360,361,1.00613423990108513e-02,1.00613426862999969e-02,1.01349943253989671e-08,1.51314654478660513e-08,"",426.70543150699814
370,371,1.00613423990108513e-02,1.00613428257689923e-02,1.01349943253989671e-08,1.45943918285745116e-08,"",438.52853662200505
380,381,1.00613423990108513e-02,1.00613426304361226e-02,1.01349943253989671e-08,1.45943918285745116e-08,"",450.314587003988
390,391,1.00613423990108513e-02,1.00613427689314697e-02,1.01349943253989671e-08,1.45943918285745116e-08,"",462.1262515929993
400,401,1.00613423990108513e-02,1.00613427636638102e-02,1.01349943253989671e-08,1.26095545398883766e-08,"",473.8935187020106
