"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,3.23139560843345207e+04,3.23139560843345207e+04,1.05949001160392730e-04,1.19662693832353129e+00,"",1.227769121993333
1,2,3.23039503202121887e+04,3.23039503202121887e+04,1.27138801392471265e-04,1.43595232598823741e+00,"",2.429660627996782
2,3,3.22908367110846048e+04,3.22908367110846048e+04,1.52566561670965518e-04,1.72314279118588476e+00,"",3.6456328550120816
3,4,3.22678683918105453e+04,3.22678683918105453e+04,1.83079874005158611e-04,2.06777134942306162e+00,"",4.867001878010342
10,11,3.14965472176620278e+04,3.14965472176620278e+04,6.56008289401703148e-04,4.46638611475381253e-01,"",13.310230695991777
20,21,2.99453106292991288e+04,2.99453106292991288e+04,5.16376693360262031e-04,2.02614396380931594e-01,"2,3",25.377743165008724
30,31,2.24026302467585956e+04,2.24026302467585956e+04,4.31107589357066815e-11,5.98510362689132713e-01,"2,3",37.50763698699302
40,41,3.98257873385261428e+03,3.98257873385261428e+03,3.28908988462117626e-16,4.72148481422060395e-01,"2,3,4",49.38760348001961
50,51,7.58997010785686754e+00,7.58997010785686754e+00,3.28908988462117626e-16,5.58590713160644126e-01,"2,3",61.20455259899609
60,61,9.06121160675715687e-01,9.16357960988525400e-01,8.82908343003272837e-08,1.03536549992845145e-01,"",73.00351683000918
70,71,8.59097610512961962e-01,8.59097610512961962e-01,3.79634426737096945e-07,2.24076668314728868e-02,"",84.78618887101766
80,81,8.22791353777686973e-01,8.22791353777686973e-01,2.35059630722502684e-06,1.38742366861435068e-01,"",96.56732925400138
90,91,6.05611730224213218e-01,6.05611730224213218e-01,1.45542727698041328e-05,1.03570621892593806e-01,"",108.47523250101949
100,101,4.18329100554656774e-01,4.18329100554656774e-01,9.01162208103407447e-05,1.29150259164776043e-01,"",120.49483537199558
110,111,3.53532627055430315e-01,3.55744100852387002e-01,5.57975886640427361e-04,6.92584551212030858e-02,"",132.4573689190147
120,121,3.49067972211708044e-01,3.49067972211708044e-01,6.53340124787725267e-04,3.37742629270711303e-01,"",144.44037554299575
130,131,1.20866672276004172e-01,1.20866672276004172e-01,4.06429824827948111e-04,7.26115742726598179e-01,"",156.43653144000564
140,141,8.55296298955319639e-02,8.55296298955319639e-02,8.73786926922519953e-04,5.69511870691972955e-01,"",168.41580347399577
150,151,4.32349705173627474e-02,4.32349705173627474e-02,1.87856192390386525e-03,4.25138333424074977e-01,"",180.32043535399134
160,161,2.49340278338827381e-02,2.49340278338827381e-02,4.86923250675881799e-04,6.12199200130667864e-01,"",192.32699378600228
170,171,1.22136482609829043e-02,1.40430834237994656e-02,3.63486258936542993e-04,1.90418439208642903e-01,"",204.32772655499866
180,181,1.11186040848627720e-02,1.11186040848627720e-02,9.42156383163519288e-05,4.11303828690668671e-02,"",216.2678373499948
190,191,1.01996430722544208e-02,1.01996430722544208e-02,7.03315971406034317e-05,1.06609952396621299e-02,"",228.16457318200264
200,201,1.00334443238973507e-02,1.00334443238973507e-02,1.51206497104527059e-04,4.97589224149967875e-03,"",240.07336726001813
210,211,1.00106373967701803e-02,1.00106373967701803e-02,1.36085847394074350e-05,7.16255127218413707e-04,"",252.08157793601276
220,221,1.00064750344286742e-02,1.00064750344286742e-02,1.01587540736286905e-05,8.06940360291952545e-04,"",264.0447168039973
230,231,1.00063596837058257e-02,1.00063829684260974e-02,7.58346928094752224e-06,8.66514746970875539e-05,"",276.03391416100203
240,241,1.00063491243561516e-02,1.00063504761559747e-02,8.19014682342332300e-07,2.69520746897821085e-05,"",288.06489853200037
250,251,1.00063476575861354e-02,1.00063476575861354e-02,5.09492653591518027e-07,1.67663466230196530e-05,"",300.3349782919977
260,261,1.00063476395563129e-02,1.00063476395563129e-02,8.82908343003272837e-08,2.89611940547319885e-06,"",312.29493049599114
270,271,1.00063475319338048e-02,1.00063476460425915e-02,8.82908343003272837e-08,2.17208955410489893e-07,"",324.2887549629959
280,281,1.00063475319338048e-02,1.00063477385888243e-02,8.82908343003272837e-08,1.05949001160392738e-07,"",336.30168189899996
290,291,1.00063475232307769e-02,1.00063475697887792e-02,8.82908343003272837e-08,1.05949001160392738e-07,"",348.2657062440121
300,301,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",360.2135440430138
310,311,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",372.15540345801855
320,321,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",384.11361667100573
330,331,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",396.1219386259909
340,341,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",408.0922293100157
350,351,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",419.9665768709965
360,361,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",431.96562786900904
370,371,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",443.87092211600975
380,381,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",455.80462676499155
390,391,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",467.777781272016
400,401,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",479.6593156089948
410,411,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",491.6462904509972
420,421,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",503.5539951630053
430,431,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",515.4926551940152
440,441,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",527.698744527006
450,451,1.00063475232307769e-02,1.00063475376987975e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",539.5315581180039
460,461,1.00063475232307769e-02,1.00063477807828607e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",551.4305439529999
470,470,1.00063475232307769e-02,1.00063477807657668e-02,8.82908343003272837e-08,8.82908343003272837e-08,"",562.6770481310086
