"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,4.06751173984887071e+00,4.06751173984887071e+00,1.19999999999999995e-06,7.33403151621316751e-01,"",0.49143433299832395
1,2,4.06751173984887071e+00,4.06753046490563364e+00,5.99999999999999973e-07,3.66701575810658376e-01,"",1.049929829001485
2,3,4.06751173984887071e+00,4.06753046490865433e+00,5.99999999999999973e-07,3.66701575810658376e-01,"",1.6210735069980728
3,4,4.06751173984887071e+00,4.06751743396093524e+00,2.99999999999999986e-07,4.40041890972790062e-01,"",2.1728324930008966
10,11,4.06751156807553382e+00,4.06751174563443119e+00,4.49999999999999993e-08,9.08157175957794993e-02,"",6.1031226470004185
20,21,4.06751049103525819e+00,4.06751049103525819e+00,9.71999999999999704e-09,5.62306986364180195e-01,"",12.09038435399998
30,31,4.06748782141120024e+00,4.06748782141120024e+00,6.01836780257279654e-08,1.74899965038714550e-01,"",17.687565275999077
40,41,4.06738802398936716e+00,4.06738802398936716e+00,3.72641471265894200e-07,2.27747024542675980e-01,"",23.27392316500118
50,51,4.04628057216271131e+00,4.04628057216271131e+00,2.30729777013375887e-06,1.41014954695411343e+00,"",29.5022022919984
60,61,2.96912507634832101e+00,2.96912507634832101e+00,2.07656799312038285e-07,1.26913459225870218e-01,"",35.895724572998006
70,71,2.61501589482832397e+00,2.61501589482832397e+00,1.55014970059239273e-07,1.40120242823020325e-01,"",42.16115085099955
80,81,2.06003894604282412e+00,2.08457359432174849e+00,4.01798802393548097e-08,3.63191669397268657e-02,"",49.574015964000864
90,91,2.04645060875302764e+00,2.04645060875302764e+00,4.33942706585031875e-09,2.71121128438383402e-02,"",56.06732592000117
100,101,2.02872379965240413e+00,2.02872379965240413e+00,2.69947078912416585e-09,2.02390837894739425e-02,"",62.37614957400001
110,111,1.99110181996411306e+00,1.99110181996411306e+00,5.80361514105033587e-09,1.51083950925071375e-02,"",68.13806845900035
120,121,1.98806200675356703e+00,1.98829648061656195e+00,1.00000000000000006e-09,1.35975555832564226e-03,"",74.18990387099984
130,131,1.98719019214682246e+00,1.98719019214682246e+00,2.07359999999999954e-09,1.01505208526785832e-03,"",80.09870184100146
140,141,1.98592992581993721e+00,1.98592992581993721e+00,4.45805022412799777e-09,6.28493496698606571e-03,"",86.03531189699788
150,151,1.98313868869931031e+00,1.98313868869931031e+00,2.76030719456217939e-08,2.63116167111887983e-02,"",91.82921141900079
160,161,1.98024737747095569e+00,1.98024737747095569e+00,2.06055827951188787e-08,1.96415166284355895e-02,"",96.80968608599869
170,171,1.97720298676221873e+00,1.97737207816818983e+00,4.43001171865681657e-08,1.46623135970606507e-02,"",101.87044788599815
180,181,1.97407439723701250e+00,1.97407439723701250e+00,1.78902056406917269e-08,1.09453584509513879e-02,"",107.02530583499902
190,191,1.97132232039000210e+00,1.97132232039000210e+00,1.33549669499538066e-08,8.17066630220140630e-03,"",112.16642415399838
200,201,1.96938095176743433e+00,1.96938095176743433e+00,9.97983665346036855e-09,9.02091671973714350e-03,"",117.3163960790007
210,211,1.96655985137514633e+00,1.96655985137514633e+00,3.10412839269231219e-09,1.31130866663294616e-02,"",122.49108481000076
220,221,1.96194951654132610e+00,1.96194951654132610e+00,1.00000000000000006e-09,9.78886674406827771e-03,"",127.70354042599865
230,231,1.95834121760538937e+00,1.95834121760538937e+00,1.00000000000000006e-09,7.30734986897999070e-03,"",132.93029863599804
240,241,1.95342882266584539e+00,1.95342882266584539e+00,1.00000000000000006e-09,1.57101334496469701e-02,"",138.2476054869985
250,251,1.94768802242637418e+00,1.94768802242637418e+00,1.43999999999999999e-09,1.17275517796276638e-02,"3",143.57901902600133
260,261,1.94727629384775280e+00,1.94727629384775280e+00,1.90734863281250012e-15,1.05547966016648963e-03,"3",148.91133482299847
270,271,1.94654907850462688e+00,1.94654907850462688e+00,2.84217094304040092e-23,6.26733864068329993e-04,"3",154.3123865460002
280,281,1.94619475671525799e+00,1.94626755124477779e+00,3.55271367880050115e-24,1.62449417566511129e-04,"3",159.69787265700143
290,291,1.94614150005074382e+00,1.94614150005074382e+00,3.55271367880050115e-24,1.49986461703483371e-04,"3",165.0826131850008
300,301,1.94586530612447595e+00,1.94586530612447595e+00,3.55271367880050115e-24,9.28676637796360346e-04,"3",170.4767276729981
310,311,1.94476057713089268e+00,1.94476057713089268e+00,3.55271367880050115e-24,1.99656977877628273e-03,"3",175.89552093800012
320,321,1.94303755071915640e+00,1.94303755071915640e+00,3.55271367880050115e-24,1.78851762429285514e-03,"3",181.33313300599912
330,331,1.94218777642380935e+00,1.94218777642380935e+00,3.55271367880050115e-24,4.81709754993732680e-03,"3",186.74377544399977
340,341,1.94030279136843986e+00,1.94034741380692410e+00,3.55271367880050115e-24,1.03563188715974815e-02,"3",192.17699604299924
350,351,1.93937560630385741e+00,1.93937560630385741e+00,3.55271367880050115e-24,2.68435785151806706e-03,"3",197.6455339259992
360,361,1.93885330003357303e+00,1.93885330003357303e+00,3.55271367880050115e-24,2.00386239872683055e-03,"3",203.12283225899955
370,371,1.93835765598326026e+00,1.93835765598326026e+00,3.55271367880050115e-24,4.30812076377595343e-03,"3",208.57066308399953
380,381,1.93726659868446038e+00,1.93726659868446038e+00,3.55271367880050115e-24,3.21599491767569348e-03,"3",214.01783759699902
390,391,1.93679445627773528e+00,1.93679445627773528e+00,3.55271367880050115e-24,2.40072734206523385e-03,"3",219.53857354199863
400,401,1.93593331768134136e+00,1.93593331768134136e+00,3.55271367880050115e-24,3.43328076985764761e-03,"3",225.04700094500004
410,411,1.93561603465328624e+00,1.93561603465328624e+00,3.55271367880050115e-24,3.08995269287188257e-04,"3",230.61528244000147
420,421,1.93551081125691948e+00,1.93551081125691948e+00,3.55271367880050115e-24,3.46763043317797795e-04,"3",236.19607703899965
430,431,1.93543095589285552e+00,1.93543095589285552e+00,3.55271367880050115e-24,2.14706536525307743e-03,"3",241.8132847630004
440,441,1.93533353394225505e+00,1.93533353394225505e+00,3.55271367880050115e-24,1.60277570689996095e-03,"3",247.42633707999994
450,451,1.93519256610207369e+00,1.93519256610207369e+00,3.55271367880050115e-24,3.44582108380221902e-03,"3",253.01603278699986
460,461,1.93485924048343905e+00,1.93485924048343905e+00,3.55271367880050115e-24,7.40819996862918020e-03,"3",258.59668274700016
470,471,1.93443762747532633e+00,1.93443762747532633e+00,3.55271367880050115e-24,1.02851209707017239e-02,"3",264.131404871001
480,481,1.93401012188262800e+00,1.93401012188262800e+00,3.55271367880050115e-24,7.67780166414495143e-03,"3",269.6696427229981
490,491,1.93353997297406055e+00,1.93353997297406055e+00,3.55271367880050115e-24,8.87539395493161694e-03,"3",275.2375722309989
500,501,1.93298405470413259e+00,1.93298405470413259e+00,3.55271367880050115e-24,1.23220891546746199e-02,"3",280.85944497499804
510,511,1.93253496696702864e+00,1.93253496696702864e+00,3.55271367880050115e-24,9.19839026560798252e-03,"3",286.52675641599853
520,521,1.93209907279059401e+00,1.93209907279059401e+00,3.55271367880050115e-24,6.86656153971529522e-03,"3",292.1789371900013
530,531,1.93162211966427555e+00,1.93162211966427555e+00,3.55271367880050115e-24,7.93761566743234233e-03,"3",297.8575662889998
540,541,1.93109698597546653e+00,1.93109698597546653e+00,3.55271367880050115e-24,1.10201314360019263e-02,"3",303.5422910439993
550,551,1.93058593867436845e+00,1.93058593867436845e+00,3.55271367880050115e-24,8.22648403644969314e-03,"3",309.2123197709989
560,561,1.93000740054515063e+00,1.93000740054515063e+00,3.55271367880050115e-24,9.50966043163323747e-03,"3",314.88117123999837
570,571,1.92958279616022677e+00,1.92958279616022677e+00,3.55271367880050115e-24,7.09892347357248335e-03,"3",320.5469234230004
580,581,1.92913640817030663e+00,1.92913640817030663e+00,3.55271367880050115e-24,9.85573918045269844e-03,"3",326.18865952899796
590,591,1.92867634547654365e+00,1.92867634547654365e+00,3.55271367880050115e-24,7.35726987525121660e-03,"3",331.8576440120014
600,601,1.92818861637796579e+00,1.92818861637796579e+00,3.55271367880050115e-24,8.50486525075888275e-03,"3",337.56508242999917
610,611,1.92768235497011342e+00,1.92768235497011342e+00,3.55271367880050115e-24,6.34884789023050164e-03,"3",343.3295850450013
