"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,4.07040246329210387e+00,4.07040246329210387e+00,7.53619745853954896e-08,1.54657418285203585e+00,"",0.5749520850004046
1,2,4.06688941200089804e+00,4.06688941200089804e+00,9.04343695024745849e-08,4.63972254855610722e-01,"0",1.1207314290004433
2,3,4.06684696239997034e+00,4.06684696239997034e+00,1.08521243402969497e-07,3.47979191141708014e-02,"0",1.68274070800544
3,4,4.06684612624680764e+00,4.06684612624680764e+00,1.30225492083563401e-07,7.54880034360027718e-03,"0",2.2443365110011655
10,11,4.06684418669679371e+00,4.06684418669679371e+00,3.56733042668866438e-08,2.70487164542219140e-02,"0",6.139955449005356
20,21,4.06683142959987620e+00,4.06683142959987620e+00,1.30225492083563396e-10,1.67478522848775957e-01,"",11.721150362005574
30,31,4.06682177272906920e+00,4.06682177272906920e+00,6.79139081382091966e-11,8.24742861526398560e-04,"4,5",17.31531463000283
40,41,4.06681018448589437e+00,4.06681018448589437e+00,4.79138530638348217e-16,5.10659041482740012e-03,"4,5",22.904713178999373
50,51,4.06673748035206017e+00,4.06673748035206017e+00,7.48653954122419089e-18,3.16186618657655280e-02,"4,5",28.523236195003847
60,61,4.06618275696420817e+00,4.06618275696420817e+00,7.48653954122419089e-18,1.95774420301810331e-01,"4,5",34.17746327799978
70,71,3.82178406526499037e+00,3.82178406526499037e+00,7.48653954122419089e-18,5.05076503648735242e-01,"4,5",39.95831738700508
80,81,2.92975846843306398e+00,2.92975846843306398e+00,7.48653954122419089e-18,3.14197991389805198e-01,"4,5",45.61154707800597
90,91,2.38518190758763016e+00,2.38518190758763016e+00,7.48653954122419089e-18,1.00800900835548690e+00,"4,5",51.20376025199948
100,101,1.89548569323584237e+00,1.89548569323584237e+00,7.48653954122419089e-18,2.61275934965742196e-01,"4,5",57.00850130800245
110,111,1.88526822155804341e+00,1.88526822155804341e+00,7.48653954122419089e-18,2.35148341469167931e-02,"4,5",62.80764665100287
120,121,1.87463985894453544e+00,1.87463985894453544e+00,7.48653954122419089e-18,6.09504501088083041e-03,"4,5",68.59518881500117
130,131,1.82253745074416584e+00,1.82253745074416584e+00,7.48653954122419089e-18,3.77389121900382207e-02,"4,5",74.3549266800037
140,141,1.64131553232958938e+00,1.64131553232958938e+00,7.48653954122419089e-18,2.34353846411692853e-03,"4,5,6,7",80.13917297500302
150,151,1.57580472779477465e+00,1.57580472779477465e+00,7.48653954122419089e-18,1.30677472932558356e-02,"4,5",85.97950905500329
160,161,1.29040255010064198e+00,1.29040255010064198e+00,6.28016454878295775e-11,9.75502108342630667e-03,"",91.81010832299944
170,171,1.27940443241064905e+00,1.27940443241064905e+00,3.88851235753646921e-10,2.09724025498369999e-02,"",97.62198051100131
180,181,1.25936537503522605e+00,1.25936537503522605e+00,9.30212386849534296e-10,4.50887460878681701e-02,"",103.4756087190035
190,191,1.23802003261033788e+00,1.23802003261033788e+00,2.41111050671399271e-10,3.36585685996092371e-02,"",109.29793356600567
200,201,1.22495729557207356e+00,1.22495729557207356e+00,7.53619745853954878e-11,3.01511841904006685e-02,"",115.09737728700566
210,211,1.21195849438785697e+00,1.21195849438785697e+00,6.75088950961192628e-11,5.40185721441535857e-02,"",120.94800912600476
220,221,1.19487355398364681e+00,1.19487355398364681e+00,7.53619745853954878e-11,4.03246480313220745e-02,"",126.78430333200231
230,231,1.10522574326358458e+00,1.10522574326358458e+00,4.66621482904376264e-10,4.49199337018297076e-02,"",132.59833579900442
240,241,1.03004300029770435e+00,1.03004300029770435e+00,2.88919723117332486e-09,9.65737463866014750e-02,"",138.37098081000295
250,251,9.74476834070537756e-01,9.74476834070537756e-01,1.78891477277531020e-08,3.00382980760885120e-02,"",144.11500572600198
260,261,8.74955753506120537e-01,8.74955753506120537e-01,4.61520364798429339e-08,5.38163264654586346e-02,"",149.87159435700596
270,271,8.34454674417690834e-01,8.34454674417690834e-01,1.19626078555752875e-08,4.01736724411589988e-02,"",155.69343490800384
280,281,7.08145932160116787e-01,7.08145932160116787e-01,7.44169909479627437e-09,1.99397885566988842e-01,"6,7",161.51368397800252
290,291,5.22260891707548525e-01,5.22260891707548525e-01,4.90637855373668574e-13,1.48849723984214893e-01,"6,7",167.43933289700362
300,301,4.66280835663427429e-01,4.66280835663427429e-01,7.48653954122419089e-18,1.33964751585793403e-02,"6,7",173.42171174100076
310,311,4.57890943120646876e-01,4.57890943120646876e-01,7.48653954122419089e-18,8.36008008516613173e-03,"6,7",179.43759775000217
320,321,4.54245840036987203e-01,4.54245840036987203e-01,7.48653954122419089e-18,5.17634123575040003e-02,"6,7",185.45145458500338
330,331,4.44279267566011771e-01,4.44279267566011771e-01,7.48653954122419089e-18,4.63694163254727634e-02,"6,7",191.51281906600343
340,341,4.26974535504908714e-01,4.26974535504908714e-01,7.48653954122419089e-18,8.30750011423202622e-02,"6,7",197.5732371769991
350,351,4.04170806643376235e-01,4.04170806643376235e-01,7.48653954122419089e-18,6.20151560527374829e-02,"6,7",203.6087918750054
360,361,3.82943593016777328e-01,3.82943593016777328e-01,7.48653954122419089e-18,4.62940659327443008e-02,"6,7",209.65178794900567
370,371,3.66840049083597353e-01,3.66840049083597353e-01,7.48653954122419089e-18,4.14700020510358550e-02,"6,7",215.70810984900163
380,381,3.59800212278216514e-01,3.59800212278216514e-01,7.48653954122419089e-18,2.57976588759083782e-02,"6,7",221.7244303539992
