"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,4.11377410177755731e+00,4.11377410177755731e+00,1.19999999999999995e-06,2.67970025793238587e-01,"",0.5601451249967795
1,2,4.04870440714347879e+00,4.04870440714347879e+00,1.43999999999999998e-06,3.21564030951886293e-01,"",1.1079556480108295
2,3,4.02004962102255625e+00,4.02004962102255625e+00,7.19999999999999989e-07,3.85876837142263562e-01,"",1.6988466029870324
3,4,4.01953852766666664e+00,4.01953852766666664e+00,7.19999999999999989e-07,1.92938418571131781e-01,"",2.2518875210080296
10,11,4.00768693817044408e+00,4.00768693817044408e+00,2.57989017599999916e-06,1.62566670572673683e-01,"",6.143482484010747
20,21,3.99880817609620864e+00,3.99880817609620864e+00,1.59739999685311335e-05,1.75572004218487558e-02,"",11.638655157992616
30,31,3.98432600276366822e+00,3.98432600276366822e+00,4.45080588374567791e-06,3.87058122069271066e-02,"",17.19759227099712
40,41,3.86850370264438581e+00,3.86850370264438581e+00,2.75582168994203192e-05,2.39656187200205040e-01,"",22.715005707985256
50,51,2.63814726701489422e+00,2.63814726701489422e+00,5.33228797851687134e-06,5.15238869146188216e-01,"7",28.25839921599254
60,61,1.96517922822755309e+00,1.96517922822755309e+00,2.39952959033259187e-07,1.67785622696752318e-01,"",33.82234047001111
70,71,9.03812394469212244e-01,9.03812394469212244e-01,1.22070312500000008e-13,1.03888435120654510e+00,"7",39.429256472009
80,81,3.91283815801853285e-01,3.91283815801853285e-01,1.00000000000000006e-09,2.69278823832736436e-01,"",45.133555451000575
90,91,3.76553333368513099e-01,3.76553333368513099e-01,1.00000000000000006e-09,1.04987103253700535e-02,"",50.895836056995904
100,101,3.32740437465885330e-01,3.32740437465885330e-01,1.43999999999999999e-09,5.21032344158183433e-02,"",56.660827897983836
110,111,2.98883903472372203e-01,3.01458497278881576e-01,1.00000000000000006e-09,1.07495071421733999e-02,"",62.45733032398857
120,121,2.91231531632253959e-01,2.91231531632253959e-01,1.43999999999999999e-09,2.90348544831540677e-02,"",68.23459964600625
130,131,2.85410691318315535e-01,2.85410691318315535e-01,1.52587890625000010e-14,5.01604676438152219e-03,"7",74.03563242399832
140,141,2.81006290431512595e-01,2.81006290431512595e-01,2.07359999999999954e-09,1.04660138113898682e-02,"",79.84534920999431
150,151,2.58826388975925192e-01,2.58826388975925192e-01,1.28391846454886332e-08,6.48027989133240778e-02,"",85.61805613600882
160,161,2.03840887571102469e-01,2.03840887571102469e-01,7.94968472033907569e-08,4.83750301776007599e-02,"",91.37543157598702
170,171,1.82736979246098885e-01,1.82736979246098885e-01,4.92223524295201909e-07,1.50465693864409358e-02,"",97.1076734259841
180,181,1.75689909303491376e-01,1.75689909303491376e-01,3.04771832334069161e-06,9.36016988391717708e-03,"",102.84490587399341
190,191,1.70345639608057625e-01,1.70366893374820694e-01,9.15444712545675206e-06,8.38479525319756232e-03,"",108.59974738198798
200,201,1.66975496634555048e-01,1.66975496634555048e-01,1.64010195872759110e-05,5.37451088714274543e-03,"",114.37617012098781
210,211,1.58004394625211292e-01,1.58004394625211292e-01,3.52606910913305700e-05,1.12139515073354321e-02,"",120.13160222300212
220,221,1.54270717715127959e-01,1.54270717715127959e-01,2.63219648569138962e-05,3.57664521633930827e-03,"",125.91175068600569
