"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,4.86490409765944847e+01,4.86490409765944847e+01,1.19999999999999995e-06,8.44800868323688392e-01,"6",0.5975567950008553
1,2,4.79816871209349358e+01,4.79816871209349358e+01,1.43999999999999998e-06,2.53440260497106495e-01,"6",1.1885881959969993
2,3,4.76617207028113441e+01,4.76617207028113441e+01,1.72799999999999980e-06,1.52064156298263892e-01,"6",1.7848979479967966
3,4,4.73327488561265284e+01,4.73327488561265284e+01,2.07359999999999951e-06,9.70861353139088612e-02,"6",2.358559296000749
10,11,3.95883814543063366e+01,3.95883814543063366e+01,7.79447601150710178e-08,3.47877176003000110e-01,"6",6.504636452998966
20,21,4.08891066478134935e+00,4.08891066478134935e+00,9.53674316406250059e-16,2.15396378117943010e+00,"6",12.58193097000185
30,31,4.06830838846823184e+00,4.06830838846823184e+00,9.53674316406250059e-16,1.83397442649915017e-03,"6",18.40276762299618
40,41,4.06716530387849584e+00,4.06716530387849584e+00,9.53674316406250059e-16,1.13554862543049362e-02,"6",24.229596077995666
50,51,4.06707702718167052e+00,4.06707702718167052e+00,1.00000000000000006e-09,1.34518141558810818e-02,"",29.995529036001244
60,61,4.06707251334985731e+00,4.06707251334985731e+00,1.00000000000000006e-09,8.32900876563247849e-02,"",35.75794621800014
70,71,4.06707251334985731e+00,4.06707258595450316e+00,1.19999999999999999e-09,7.49610788906923068e-03,"",41.538591673001065
80,81,4.06707250959307931e+00,4.06707251090436284e+00,1.00000000000000006e-09,2.33158939781609323e-03,"",47.307583091002016
90,91,4.06707250594038161e+00,4.06707250594038161e+00,1.00000000000000006e-09,6.04347971913931259e-04,"",53.05981667999731
100,101,4.06707250552737420e+00,4.06707250554428157e+00,1.19999999999999999e-09,1.30539161933409165e-04,"",58.8184334089965
110,111,4.06707250530234798e+00,4.06707250530234798e+00,7.43008370687999657e-09,2.80647251212729463e-04,"",64.5436426419983
120,121,4.06707250398447684e+00,4.06707250398447684e+00,4.60051199093696576e-08,6.03365905270937118e-04,"",70.31418500700238
130,131,4.06707250230798145e+00,4.06707250230798145e+00,7.72557900670873847e-08,4.50410234821133450e-04,"",76.07320648300083
140,141,4.06707250056705316e+00,4.06707250056705316e+00,1.66092878194330916e-07,9.68340783320745658e-04,"",81.82912620299612
150,151,4.06707249696171402e+00,4.06707249696171402e+00,1.23987669200555249e-07,3.77827048752067771e-03,"",87.57914035399881
160,161,4.06707249093503709e+00,4.06707249093503709e+00,3.21376038567839199e-08,2.82046380585223525e-03,"",93.30864319399552
170,171,4.06707249014348537e+00,4.06707249014348537e+00,8.33006691967839082e-09,7.31064218476899243e-04,"",99.0608791429986
180,181,4.06707248777841368e+00,4.06707248777841368e+00,6.21836163527223958e-09,1.57172116272805812e-03,"",104.87345162400015
190,191,4.06707248396333831e+00,4.06707248396333831e+00,4.64198208728418545e-09,3.37905665594451145e-03,"",110.67281595499662
200,201,4.06707247913663927e+00,4.06707247913663927e+00,1.00000000000000006e-09,2.52245227743595323e-03,"",116.45514067199838
210,211,4.06707247343711664e+00,4.06707247343711664e+00,1.00000000000000006e-09,5.42304154165486763e-03,"",122.22840907199861
220,221,4.06707246711210413e+00,4.06707246711210413e+00,1.19999999999999999e-09,4.04827881867919105e-03,"",128.02215577600145
230,231,4.06707245984307164e+00,4.06707245984307164e+00,1.00000000000000006e-09,3.02202394502874058e-03,"",133.813069429998
240,241,4.06707245106510840e+00,4.06707245106510840e+00,1.00000000000000006e-09,6.49707490618034195e-03,"",139.5925650049976
250,251,4.06707244118519018e+00,4.06707244118519018e+00,1.19999999999999999e-09,4.85004042916399938e-03,"",145.3875934759999
260,261,4.06707242951253711e+00,4.06707242951253711e+00,1.03679999999999977e-09,3.62053578020920782e-03,"",151.19448270899738
270,271,4.06707241514623163e+00,4.06707241514623163e+00,2.22902511206399889e-09,7.78382057601518899e-03,"",156.98371147899888
280,281,4.06707239859410663e+00,4.06707239859410663e+00,1.66395833005532651e-09,5.81059092471303273e-03,"",162.76901942800032
290,291,4.06707237560650015e+00,4.06707237560650015e+00,1.49056588506357661e-09,5.20509945952149587e-03,"",168.57685758500156
300,301,4.06707234808772800e+00,4.06707234808772800e+00,6.66144142908674407e-10,9.32540622272389971e-03,"3",174.34404122400156
310,311,4.06707230457996971e+00,4.06707230457996971e+00,1.90734863281250012e-15,8.35365413236619815e-03,"3",180.12417447900225
320,321,4.06707223170573684e+00,4.06707223170573684e+00,1.16415321826934822e-19,1.49663265484676067e-02,"3",185.9259440140013
330,331,4.06707208853661140e+00,4.06707208853661140e+00,3.55271367880050115e-24,1.34067634837498461e-02,"3",191.74906004499644
340,341,4.06707166353229255e+00,4.06707166353229255e+00,3.55271367880050115e-24,2.40194287525567728e-02,"3",197.6102853850025
350,351,4.06706822893188846e+00,4.06706822893188846e+00,3.55271367880050115e-24,1.48721971852447482e-01,"3",203.44851752899558
360,361,4.02631312683454556e+00,5.15352440778979926e+00,1.00000000000000006e-09,3.83686354137477537e-01,"",209.31212458999653
370,371,4.01624885400658194e+00,4.01740336151264188e+00,1.00000000000000006e-09,8.28762524936951378e-02,"",215.1864521289972
380,381,4.01559558384016402e+00,4.01560704522618028e+00,1.00000000000000006e-09,7.45886272443256181e-03,"",221.06367872499686
390,391,4.01557970018987387e+00,4.01557970018987387e+00,2.07359999999999954e-09,5.56801118833800870e-03,"",226.88477079600125
400,401,4.01554049289630122e+00,4.01554049289630122e+00,4.45805022412799777e-09,4.98779769605948390e-03,"",232.9797358989963
410,411,4.01549323645659673e+00,4.01549323645659673e+00,3.32791666011065302e-09,8.93609046940228510e-03,"",239.2500586679962
420,421,4.01541015628731746e+00,4.01541015628731746e+00,2.48427647510596115e-09,6.67075579104692718e-03,"",245.1014893219981
430,431,4.01509690452014478e+00,4.01509690452014478e+00,2.22540294187283871e-09,7.90223907377038057e-03,"",250.9786382309976
440,441,4.01298065369942680e+00,4.01298065369942680e+00,1.38437866208025518e-09,4.89285814915764727e-02,"",256.88511602699873
450,451,3.93476129662232843e+00,3.93476129662232843e+00,4.29981695999999902e-09,1.09330262054446167e-01,"",262.8075013880007
460,461,3.42010010971910061e+00,3.42010010971910061e+00,9.24421294475181444e-09,7.85253865265235079e-02,"6,7",268.75307819099544
470,471,3.40185067876183345e+00,3.40185067876183345e+00,7.62939453125000048e-15,2.03537801876748914e-02,"6,7",274.74080495700036
480,481,3.38402984175031030e+00,3.38402984175031030e+00,7.45058059692382859e-18,1.82328185939742635e-02,"3,6,7",280.73789283199585
490,491,3.37064386077991829e+00,3.37064386077991829e+00,7.45058059692382859e-18,3.26657427579057774e-02,"6,7",286.68531629099743
500,501,3.36216471424797803e+00,3.36216471424797803e+00,7.45058059692382859e-18,8.46696052284917448e-03,"6,7",292.6750263040012
510,511,3.35943192968790738e+00,3.35943192968790738e+00,7.45058059692382859e-18,1.82031902278986663e-02,"6,7",298.6580893079954
520,521,3.35908816312501513e+00,3.35908816312501513e+00,7.45058059692382859e-18,1.35886086923654413e-02,"3,6,7",304.63036378099787
530,531,3.35886546793382301e+00,3.35886546793382301e+00,7.45058059692382859e-18,3.52216737306112158e-03,"3,6,7",310.6064101590018
540,541,3.35874441826184977e+00,3.35874441826184977e+00,7.45058059692382859e-18,7.57233750332342737e-03,"3,6,7",316.573720831002
550,551,3.35868523126867169e+00,3.35868523126867169e+00,7.45058059692382859e-18,5.65271965688092428e-03,"3,6,7",322.56074774599983
560,561,3.35858901692744105e+00,3.35858901692744105e+00,7.45058059692382859e-18,1.46518493506353530e-03,"6,7",328.5293884540006
570,571,3.35806916039975345e+00,3.35806916039975345e+00,7.45058059692382859e-18,3.15001351666134360e-03,"3,6,7",334.5399761689987
580,581,3.35702921883305905e+00,3.35702921883305905e+00,7.45058059692382859e-18,6.62842130124408177e-04,"3,6,7",340.49206298399804
590,591,3.35700639285615310e+00,3.35700691535335238e+00,7.45058059692382859e-18,5.93770798523220286e-04,"3,6,7",346.4302084449955
600,601,3.35700516254603354e+00,3.35700516254603354e+00,7.45058059692382859e-18,9.95548125343591209e-05,"6,7",352.40370920400164
610,611,3.35700187531271466e+00,3.35700187531271466e+00,7.45058059692382859e-18,6.16417158794195096e-04,"6,7",358.362535182001
620,621,3.35699180742258818e+00,3.35699180742258818e+00,7.45058059692382859e-18,1.32524047690914639e-03,"6,7",364.3114880119974
630,631,3.35696117348052869e+00,3.35696117348052869e+00,7.45058059692382859e-18,9.89286715050770142e-04,"6,7",370.302562785997
640,641,3.35694823325448821e+00,3.35694823325448821e+00,7.45058059692382859e-18,7.38498575638539523e-04,"4,6,7",376.286261823996
650,651,3.35693289687881613e+00,3.35693289687881613e+00,7.45058059692382859e-18,1.58770435023321689e-03,"6,7",382.2822101130005
660,661,3.35691819312683037e+00,3.35691858245925179e+00,7.45058059692382859e-18,4.93839561096539714e-04,"6,7",388.2253655050008
670,671,3.35691553050531688e+00,3.35691553050531688e+00,7.45058059692382859e-18,3.07207714166935375e-04,"6,7",394.1432723550024
680,681,3.35690445531059689e+00,3.35690445531059689e+00,7.45058059692382859e-18,1.90214919304966122e-03,"5,6,7",400.07911303199944
690,691,3.35689453015955808e+00,3.35689453015955808e+00,7.45058059692382859e-18,4.93037070838472013e-04,"5,6,7",406.05222856199543
700,701,3.35687707005478764e+00,3.35687707005478764e+00,7.45058059692382859e-18,3.05275558910397598e-03,"4,5,6,7",412.01171827600047
710,711,3.35686865263776646e+00,3.35686865263776646e+00,7.45058059692382859e-18,7.91274248695750422e-04,"4,5,6,7",417.9031815029957
720,721,3.35686226206465754e+00,3.35686226206465754e+00,7.45058059692382859e-18,5.90683061554382735e-04,"4,5,6,7",423.8533994620011
