"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,5.20273624353411179e+00,5.20273624353411179e+00,1.19999999999999995e-06,5.81483310236746220e+00,"",0.5773545870033558
1,2,3.83123595951806317e+00,3.83123595951806317e+00,5.99999999999999973e-07,2.90741655118373110e+00,"",1.164069244026905
2,3,3.50182537779476233e+00,3.50182537779476233e+00,5.99999999999999973e-07,2.90741655118373110e+00,"",1.7379793020081706
3,4,3.50182537779476233e+00,3.70670390291361995e+00,2.99999999999999986e-07,1.45370827559186555e+00,"",2.3325959670182783
10,11,2.68686184012143592e+00,3.00272893473475611e+00,1.07999999999999988e-07,5.23334979213071594e-01,"",6.560622840013821
20,21,2.38992311528113843e+00,2.39872685364775240e+00,1.16639999999999961e-08,7.15677949982517075e-02,"",13.741333754005609
30,31,2.37546588472980158e+00,2.37546588472980158e+00,7.25594111999999638e-09,1.54586437196223680e-02,"",20.076028794021113
40,41,2.36330231422029913e+00,2.36330231422029913e+00,5.41653102231551646e-09,3.32346692221148626e-02,"",26.25231646501925
50,51,2.32974830931665444e+00,2.32974830931665444e+00,1.16450459770591937e-08,7.14514971906197172e-02,"",32.55149036902003
60,61,2.19269426599035766e+00,2.19269426599035766e+00,2.50357830960694382e-08,1.21315750242263654e-01,"",38.58134662199882
70,71,2.18859639450461252e+00,2.18859639450461252e+00,2.25322047864624890e-09,1.38252761746928549e-02,"",44.71701280202251
80,81,2.16055403470101082e+00,2.16055403470101082e+00,1.39513473053315333e-08,2.14930045847532940e-02,"",50.89037936500972
90,91,2.10463772842619168e+00,2.10463772842619168e+00,2.99941198791573984e-08,4.62079928174399732e-02,"",57.28754666901659
100,101,2.07874778089372736e+00,2.07874778089372736e+00,6.44846126783370649e-08,4.90811608431404589e-02,"",63.351955316000385
110,111,2.00889917857079547e+00,2.00889917857079547e+00,3.99271725004816241e-07,1.05520003904911605e-01,"",69.5170876350021
120,121,9.10508764810318949e-01,9.10508764810318949e-01,2.47218528214679631e-06,6.53352051469831219e-01,"",75.59765360201709
130,131,2.85994467694612342e-01,2.85994467694612342e-01,2.22496675393211669e-07,1.29985395090176953e-01,"",81.72106698501739
140,141,2.39244448771490398e-01,2.39631427317017892e-01,2.40296409424668575e-08,1.77759341112052709e-02,"",87.87871135302703
150,151,2.36274322528106151e-01,2.36274322528106151e-01,5.19040244357284111e-09,8.73302197439130429e-03,"",94.03471271201852
160,161,2.28481617399583975e-01,2.28481617399583975e-01,1.11588902280499731e-08,1.87751979987702024e-02,"",100.17529233702226
170,171,2.18001411937288364e-01,2.18001411937288364e-01,6.90929070585804434e-08,1.53996452882393334e-02,"",106.19374572800007
180,181,2.07533325119291262e-01,2.07533325119291262e-01,5.15775787476020639e-08,1.36309835383089089e-02,"",112.17519089800771
190,191,1.31489507321316618e-01,1.31489507321316618e-01,3.85024562247699427e-08,2.93053670997507169e-02,"",118.17361382802483
200,201,1.18581061802693372e-01,1.18581061802693372e-01,2.87419295619658592e-08,4.83592371073012228e-02,"",124.24955624900758
210,211,9.34431602205763046e-02,9.34431602205763046e-02,2.14557354502892613e-08,1.03967933943317548e-01,"",130.3154936050123
220,221,7.08584022532136176e-02,7.08584022532136176e-02,2.31721942863123997e-09,2.69484884781079036e-02,"",136.26111382900854
230,231,5.98453319329662892e-02,5.98453319329662892e-02,1.00000000000000006e-09,2.41403266259443590e-02,"",142.16388420099975
240,241,5.55933608992152870e-02,5.55933608992152870e-02,1.19999999999999999e-09,1.50172143874674653e-02,"",148.08231906802393
250,251,5.29569399504907501e-02,5.29569399504907501e-02,1.00000000000000006e-09,1.12102904713869134e-02,"",153.9819454360113
260,261,4.93293500450111763e-02,4.93293500450111763e-02,1.19999999999999999e-09,2.90570729018348748e-03,"",159.93614675902063
270,271,4.48628918236527383e-02,4.48628918236527383e-02,1.19999999999999999e-09,5.71991133194433600e-03,"",165.89205002601375
280,281,4.19058708219154988e-02,4.19058708219154988e-02,1.43999999999999999e-09,1.34304884727869615e-02,"",171.88713735700003
290,291,4.00327756438149870e-02,4.00327756438149870e-02,1.19999999999999999e-09,1.00258059229815719e-02,"",177.82414261400118
300,301,3.94251697435867229e-02,3.94251697435867229e-02,1.00000000000000006e-09,3.29054934902519572e-03,"",183.79181014202186
310,311,3.83336677789708619e-02,3.83336677789708619e-02,1.00000000000000006e-09,7.07437994932774532e-03,"",189.7264237110212
320,321,3.69024193788049931e-02,3.69024193788049931e-02,1.19999999999999999e-09,5.43362229239345140e-03,"",195.68844851801987
330,331,3.61191614840678868e-02,3.61191614840678868e-02,3.09586821119999884e-09,3.94224263983339665e-03,"",201.6345847780176
340,341,3.54104783431989090e-02,3.54104783431989090e-02,5.54652776685108850e-09,3.02792013480393963e-03,"",207.5706146400189
350,351,3.50990110220178522e-02,3.50990110220178522e-02,3.43426379918648001e-08,4.57503216502638463e-03,"",213.49412277000374
360,361,3.49541800212824147e-02,3.49541800212824147e-02,2.12640562495527195e-07,1.63993186991251991e-03,"",219.4118506470113
370,371,3.47738131925207292e-02,3.47738131925207292e-02,1.31661431568317862e-06,3.52570343374718296e-03,"",225.34293588102446
380,381,3.46260787363609698e-02,3.46260787363609698e-02,5.84703276574708162e-06,9.13862330027269821e-04,"",231.28574400601792
390,391,3.45057092781360514e-02,3.45057092781360514e-02,4.36478657149913259e-06,8.18633488699243867e-04,"",237.18751809801324
400,401,3.42852048197347589e-02,3.42852048197347589e-02,1.35762321519908998e-06,3.05438701176377484e-03,"",243.11408262400073
410,411,3.35898626657388719e-02,3.35898626657388719e-02,2.93246614483003394e-07,9.34360077240985708e-03,"",249.03957347001415
420,421,3.07544751751156059e-02,3.07544751751156059e-02,1.81570574363990270e-06,2.00878865343384963e-02,"",254.94643858700874
430,431,3.03344191952045900e-02,3.03344191952045900e-02,1.63413516927591208e-07,2.16949174570855736e-03,"",260.89332085402566
440,441,2.97274773842194778e-02,2.97274773842194778e-02,2.18865163630514045e-07,3.88684058449069144e-03,"",266.7991698470141
450,451,2.89817860301515122e-02,2.89817860301515122e-02,3.16191695210326614e-08,3.48181313875195464e-03,"",272.7323173210025
460,461,2.80197134812829735e-02,2.80197134812829735e-02,9.83482648782199821e-09,6.23798299398186859e-03,"",278.64784882901586
470,471,2.67080678328553804e-02,2.67080678328553804e-02,2.12432252136955138e-09,4.65662935307548879e-03,"",284.58206936201896
480,481,2.53324079632041670e-02,2.53324079632041670e-02,1.00000000000000006e-09,1.00113269343939035e-02,"",290.54133503101184
490,491,2.32763687885244389e-02,2.32763687885244389e-02,1.43999999999999999e-09,8.96809861346077077e-03,"",296.5120159080252
500,501,1.94445602956648846e-02,1.94445602956648846e-02,2.07359999999999954e-09,4.62734190205333143e-02,"",302.44912037602626
510,511,1.19474477434418930e-02,1.19474477434418930e-02,1.00000000000000006e-09,3.45429222051520241e-02,"",308.42404954100493
520,521,1.11281763406348190e-02,1.11310225466864920e-02,6.19173642239999769e-09,8.95352543557540251e-03,"",314.3832361920213
530,531,1.10869296711391552e-02,1.10869296711391552e-02,3.83375999244747180e-08,8.05817289201786230e-04,"",320.3944537290081
540,541,1.10428014875745654e-02,1.10428014875745654e-02,2.37376313799769453e-07,4.22759941586022946e-04,"",326.38463462900836
550,551,1.10234257915388361e-02,1.10234257915388361e-02,1.46977156796908360e-06,1.87102809725637451e-04,"",332.3346689500031
560,561,1.09887722529584415e-02,1.09887722529584415e-02,3.01575792915129433e-07,3.35211597717478620e-04,"",338.31884834801895
570,571,1.07963817556887883e-02,1.07963817556887883e-02,1.55606485092230516e-06,2.01724160401749262e-03,"",344.2901967970247
580,581,1.01754399728385750e-02,1.01754399728385750e-02,3.34539701842779882e-06,4.33688483068600875e-03,"",350.2808554910007
590,591,9.35221220846857958e-03,9.35221220846857958e-03,2.07138165663877555e-05,2.34103936925594185e-03,"",356.2394317870203
600,601,7.67822707022092904e-03,7.67822707022092904e-03,1.54627812115421944e-05,5.57315218705596062e-03,"",362.23776051800814
610,611,5.95152672924634685e-03,5.95152672924634685e-03,1.15429043232914003e-05,9.98480595606845989e-03,"",368.2068983390054
620,621,4.46872553017933945e-03,4.46872553017933945e-03,3.59030496071655594e-06,4.78889310262438708e-03,"",374.1978863539989
630,631,3.81663756922478743e-03,3.81663756922478743e-03,7.75505871514775954e-07,5.56409580379069613e-03,"",380.16627562002395
640,641,2.84378200966436782e-03,2.84675908343276496e-03,5.78912031062294081e-07,4.98429031337584670e-03,"",386.1328560660186
650,651,2.58169147821559180e-03,2.58169147821559180e-03,1.50053998451346609e-07,3.36014951604361603e-03,"",392.0961806609994
660,661,2.25106808550931421e-03,2.25106808550931421e-03,3.88939963985890313e-08,6.66606496459926177e-03,"",398.068522837013
670,671,1.96918102782198167e-03,1.96918102782198167e-03,2.40821374113838068e-07,2.58946609756798831e-03,"",404.0289606350125
680,681,1.69821186464366356e-03,1.69821186464366356e-03,1.49110247339306710e-06,1.39778719436303733e-03,"",410.0308178590203
690,691,1.44336571775044074e-03,1.44336571775044074e-03,3.20573385209672782e-06,4.27593669650045034e-03,"",416.02211996601545
700,701,1.36211914724137921e-03,1.36211914724137921e-03,2.39306749765479856e-06,3.19196964019079947e-03,"",421.99573883600533
710,711,1.19975913763940519e-03,1.19975913763940519e-03,9.35892083801382429e-06,6.66968225857382090e-03,"",427.97636933700414
720,721,1.13707676882357934e-03,1.13707676882357934e-03,2.42583228121318276e-06,1.15354476212899864e-03,"",433.91218859600485
730,731,1.00157907983773544e-03,1.00157907983773544e-03,1.50201140902213370e-05,3.71672231096219392e-03,"",439.8625621230167
740,741,9.27111387582714723e-04,9.31400336338113590e-04,6.16381880715424163e-06,9.63374423001400531e-04,"",445.79646155799855
750,751,8.93398717435831230e-04,8.93398717435831230e-04,1.59766183481437920e-06,1.49767792185628358e-03,"",451.7288248250261
760,761,8.09076484759239413e-04,8.09076484759239413e-04,4.14113947583887039e-07,1.34161269354483360e-03,"",457.6755239610211
770,771,7.54755706418693689e-04,7.54755706418693689e-04,8.90307087596873999e-07,3.32401168858494208e-03,"",463.6262195230229
780,781,7.14958760341268267e-04,7.14958760341268267e-04,1.20897736124292050e-06,8.61583829681216926e-04,"",469.5719245520013
790,791,7.02154120684050074e-04,7.02154120684050074e-04,4.11509415198365709e-06,6.43168882521709525e-04,"",475.5192993080127
800,801,6.85798210580699304e-04,6.85798210580699304e-04,3.07190132407919156e-06,9.99881055983092501e-04,"",481.4668545280001
810,811,6.69980023531505445e-04,6.69980023531505445e-04,2.29316205081981958e-06,3.58409897609757644e-04,"",487.45348599602585
820,821,6.57907395702744444e-04,6.57907395702744444e-04,7.13265124286996495e-07,1.60470718766163463e-03,"",493.3914821530052
830,831,6.52297504387395707e-04,6.52297504387395707e-04,4.43707968516454710e-07,2.05498447019247522e-04,"",499.37129578902386
840,841,6.48485593610321348e-04,6.48485593610321348e-04,1.73527397643860697e-06,4.29392976985463624e-04,"",505.34655692701926
850,851,6.43929024907879694e-04,6.43929024907879694e-04,1.19141053991162296e-06,9.23155602473492909e-04,"",511.29294648300856
860,861,6.38453483448702492e-04,6.38453483448702492e-04,5.31584330633914518e-07,6.89131964624052347e-04,"",517.2540609670104
870,871,6.36635359498916942e-04,6.36635359498916942e-04,1.92106771718803201e-07,3.71991676694447069e-04,"",523.2243301410053
880,881,6.32317393275558248e-04,6.32317393275558248e-04,1.02376640634859657e-06,7.99748060214809891e-04,"",529.2173467280227
890,891,6.31664479777361816e-04,6.31664479777361816e-04,2.21133543771296830e-07,2.07294697207678700e-04,"",535.17770220901
900,901,6.30531480803673714e-04,6.30531480803673714e-04,6.87813774546241590e-08,2.13999290994885857e-04,"",541.1455694960023
