"Iter.","Eval.","Best","Current","Time m:s"
0,10,7.36366166763953522e+00,7.36366166763953522e+00,0.4581578229990555
1,20,6.97925228900464578e+00,6.97925228900464578e+00,0.9138246879956569
2,28,6.73826485020509569e+00,6.73826485020509569e+00,1.2787711729979492
3,37,6.71259574287902616e+00,6.71259574287902616e+00,1.690036597996368
4,47,6.19004805256222745e+00,6.19004805256222745e+00,2.1480226349958684
5,56,5.80089145259157313e+00,5.80089145259157313e+00,2.5590629289945355
6,64,5.80089145259157313e+00,5.89459436660154523e+00,2.9259573419985827
7,72,5.72091456766923301e+00,5.72091456766923301e+00,3.2904911739969975
8,82,5.19869035012727032e+00,5.19869035012727032e+00,3.7444666879964643
9,92,4.68539329900607360e+00,4.68539329900607360e+00,4.2019672189999255
10,100,4.40255623463010171e+00,4.40255623463010171e+00,4.570240886998363
11,107,4.32034452032427296e+00,4.32034452032427296e+00,4.8908574679953745
12,112,4.26823716903456063e+00,4.26823716903456063e+00,5.118726675995276
13,121,4.12030330060286243e+00,4.12030330060286243e+00,5.528456823994929
14,129,4.03723527218401390e+00,4.03723527218401390e+00,5.894129565000185
15,138,4.00849231882140256e+00,4.00849231882140256e+00,6.305903186999785
16,148,3.94779739030405530e+00,3.94779739030405530e+00,6.763810126998578
17,156,3.90774360519855968e+00,3.90774360519855968e+00,7.131114523996075
18,164,3.89115198510328053e+00,3.89115198510328053e+00,7.4968029349984135
19,173,3.86836801229488492e+00,3.86836801229488492e+00,7.912852365996514
20,180,3.86836801229488492e+00,3.87237035544106112e+00,8.232430486998055
21,188,3.86836801229488492e+00,3.87213346949326676e+00,8.596064700999705
22,194,3.86376110694241914e+00,3.86376110694241914e+00,8.87064219799504
23,201,3.85962387038361721e+00,3.85962387038361721e+00,9.192898640998465
24,209,3.85637882773355711e+00,3.85637882773355711e+00,9.557227552999393
25,215,3.84648470112566132e+00,3.84648470112566132e+00,9.831623286998365
26,221,3.83983120046821647e+00,3.83983120046821647e+00,10.104761401998985
