"Iter.","Eval.","Best","Current","Time m:s"
0,8,1.46246196523558947e+00,1.46246196523558947e+00,0.38758180898730643
1,14,1.19143628523310507e+00,1.19143628523310507e+00,0.6786909569927957
2,23,1.19143628523310507e+00,1.42547045256404958e+00,1.1137471359979827
3,33,1.19143628523310507e+00,1.32043447512751344e+00,1.5979042499966454
4,41,1.19143628523310507e+00,2.56157739430718667e+00,1.9841314109944506
5,47,1.19143628523310507e+00,1.73492930118637112e+00,2.278242467000382
6,55,1.16009037612684351e+00,1.16009037612684351e+00,2.6622268749924842
7,65,1.16009037612684351e+00,1.60127893260343201e+00,3.146812894992763
8,73,1.07105882675075437e+00,1.07105882675075437e+00,3.532821258995682
9,81,1.07105882675075437e+00,1.24163229676768205e+00,3.9210866239882307
10,91,1.07105882675075437e+00,1.14818654380918006e+00,4.407808424992254
11,100,7.84915602666520051e-01,7.84915602666520051e-01,4.842164446992683
12,108,6.85663233731845345e-01,6.85663233731845345e-01,5.228506571991602
13,116,6.85663233731845345e-01,1.06034677060094418e+00,5.611684698989848
14,123,6.41828276057812008e-01,6.41828276057812008e-01,5.948765324996202
15,131,6.41828276057812008e-01,7.59438381830822462e-01,6.328673523996258
16,140,6.41828276057812008e-01,1.08511720152823310e+00,6.77395765199617
17,148,6.32883939898703285e-01,6.32883939898703285e-01,7.163704358987161
18,155,6.32883939898703285e-01,7.31129847132034105e-01,7.5012063089961885
19,161,6.32883939898703285e-01,1.63345599977366795e+00,7.7884939149953425
20,168,6.32883939898703285e-01,7.03919428891571552e-01,8.1290376859979
21,176,6.32883939898703285e-01,1.40792530175529018e+00,8.516387436000514
22,183,6.32883939898703285e-01,1.12956471844073691e+00,8.853424932996859
23,191,6.32883939898703285e-01,1.10802543870043380e+00,9.24217466499249
24,200,6.32883939898703285e-01,6.91699671070173383e-01,9.676579319988377
25,209,6.32883939898703285e-01,9.30129659677750076e-01,10.108393186994363
26,218,6.32883939898703285e-01,9.04905675618334127e-01,10.548801261989865
27,226,6.32883939898703285e-01,7.64726601044130816e-01,10.935508222988574
28,232,6.32883939898703285e-01,6.92042841906357009e-01,11.234114770995802
29,238,6.32883939898703285e-01,6.57900380020526754e-01,11.521928279995336
30,244,6.32883939898703285e-01,6.64644990307588945e-01,11.8132605439896
31,254,6.32883939898703285e-01,7.14469476924163960e-01,12.296569095997256
32,264,6.32883939898703285e-01,6.81734927142240377e-01,12.778048481995938
33,273,6.32883939898703285e-01,6.53545135160306545e-01,13.209542771990527
34,283,6.32883939898703285e-01,6.98756093509324328e-01,13.688730380992638
35,289,6.32883939898703285e-01,7.30315058336875489e-01,13.97839671499969
36,299,6.32883939898703285e-01,7.49303705699702061e-01,14.456781953995232
37,309,6.32883939898703285e-01,6.51451639741300492e-01,14.934154674992897
38,319,6.32883939898703285e-01,6.49505809584937532e-01,15.414044635996106
39,329,6.32883939898703285e-01,6.37315909187646357e-01,15.889887065000948
40,339,6.32855699296065666e-01,6.32855699296065666e-01,16.366986224995344
41,349,6.24520753724698396e-01,6.24520753724698396e-01,16.84328216499125
42,359,6.24520753724698396e-01,6.73430754264779052e-01,17.32559520599898
43,369,6.24520753724698396e-01,6.71640374828838094e-01,17.80128548698849
44,379,6.24520753724698396e-01,6.34148120904335366e-01,18.27848710399121
45,389,6.24520753724698396e-01,6.32749232869810996e-01,18.7553559839871
46,399,6.20864222198974636e-01,6.20864222198974636e-01,19.234418318999815
47,409,6.20864222198974636e-01,6.24328523953125880e-01,19.713316895999014
48,419,6.19380950333108138e-01,6.19380950333108138e-01,20.189068501000293
49,429,6.19380950333108138e-01,6.24362060317062761e-01,20.67033219599398
50,439,6.19380950333108138e-01,6.24476105500022971e-01,21.14549131199601
51,449,6.19380950333108138e-01,6.20184118980118271e-01,21.625911023991648
52,459,6.19380950333108138e-01,6.20531181157936595e-01,22.103855997993378
53,469,6.19380950333108138e-01,6.20261574150267614e-01,22.58012636299827
54,479,6.18873106782430016e-01,6.18873106782430016e-01,23.05800730099145
55,489,6.18873106782430016e-01,6.19315168868983745e-01,23.539138302992797
56,499,6.18181452345264670e-01,6.18181452345264670e-01,24.017808217991842
57,509,6.16908393083744677e-01,6.16908393083744677e-01,24.497628519995487
58,519,6.16908393083744677e-01,6.17964597508613989e-01,24.97695681398909
59,529,6.16612642658942889e-01,6.16612642658942889e-01,25.458193613987532
60,539,6.16612642658942889e-01,6.16737662812407939e-01,25.943242822992033
61,549,6.15677915701550393e-01,6.15677915701550393e-01,26.42322392598726
62,559,6.15677915701550393e-01,6.16197889809491639e-01,26.899232284995378
63,569,6.15262567716263309e-01,6.15262567716263309e-01,27.378139907988952
64,579,6.15070753830291861e-01,6.15070753830291861e-01,27.856393219990423
65,589,6.13737690332236796e-01,6.13737690332236796e-01,28.334994184988318
66,599,6.13561232758730868e-01,6.13561232758730868e-01,28.814140617992962
67,609,6.12338013573550222e-01,6.12338013573550222e-01,29.293108201993164
