"Iter.","Eval.","Best","Current","Time m:s"
0,6,3.46893787863302214e+03,3.46893787863302214e+03,0.27129360201070085
1,13,1.96131892806441533e+03,1.96131892806441533e+03,0.5893908950092737
2,19,1.23761720464215546e+03,1.23761720464215546e+03,0.8662860070035094
3,27,9.70397493044698876e+02,9.70397493044698876e+02,1.231710826003109
4,33,9.36167801467354252e+02,9.36167801467354252e+02,1.5094014220085228
5,42,6.47814822234932649e+02,6.47814822234932649e+02,1.9252039070124738
6,50,5.79799247088266270e+02,5.79799247088266270e+02,2.2973451710131485
7,57,5.79799247088266270e+02,5.99038779609037647e+02,2.622758681012783
8,62,1.78137922701917347e+02,1.78137922701917347e+02,2.8566404130106093
9,71,1.21785566014827804e+01,1.21785566014827804e+01,3.2755086770048365
10,78,1.21785566014827804e+01,3.28068115016118824e+01,3.5992074650130235
11,84,1.21785566014827804e+01,2.56752654924670196e+02,3.876289997002459
12,89,1.21785566014827804e+01,1.96877410456782123e+01,4.109193699012394
13,92,1.21785566014827804e+01,6.87733616527023855e+02,4.250824904011097
14,99,1.21785566014827804e+01,1.15728031880823849e+02,4.579089922001003
15,105,4.79141306960907709e+00,4.79141306960907709e+00,4.859037519010599
16,111,4.79141306960907709e+00,3.31987953792441957e+01,5.139107064009295
17,115,4.79141306960907709e+00,2.87178163166956679e+01,5.325457381011802
18,124,4.79141306960907709e+00,7.28141973068732540e+00,5.75038828200195
19,129,4.79141306960907709e+00,1.40340967510604582e+01,5.985523151000962
20,136,4.79141306960907709e+00,1.00656001143556821e+01,6.314760200009914
21,141,4.79141306960907709e+00,9.08533675995378331e+00,6.550900766000268
22,148,4.79141306960907709e+00,6.89233127321436090e+00,6.880639234004775
23,154,4.79141306960907709e+00,5.93870489337114371e+00,7.16481329301314
24,157,4.79141306960907709e+00,2.30960746010854763e+01,7.309449772001244
25,165,4.79141306960907709e+00,5.54157751124613718e+00,7.684371288007242
26,170,4.54641489085924277e+00,4.54641489085924277e+00,7.91969457801315
27,173,4.54641489085924277e+00,1.16196796957500688e+01,8.060640248004347
28,182,4.54641489085924277e+00,4.90182389874991653e+00,8.485376411001198
29,188,4.54641489085924277e+00,6.93048597892965113e+00,8.768112585006747
30,194,4.54641489085924277e+00,5.24648366232347829e+00,9.053079813005752
31,199,4.54641489085924277e+00,5.99212936991355605e+00,9.290272384008858
32,204,4.54641489085924277e+00,3.63121793030180484e+01,9.526978309004335
33,212,4.54641489085924277e+00,2.92842563387308417e+01,9.90518870401138
34,222,4.54641489085924277e+00,8.20657149837472488e+00,10.375686448009219
