"Iter.","Eval.","Best","Current","Time m:s"
0,9,4.59300203379406594e+03,4.59300203379406594e+03,0.4397807119967183
1,15,4.35364134491239929e+03,4.35364134491239929e+03,0.7326973289964371
2,24,4.20648823387725679e+03,4.20648823387725679e+03,1.1723168259995873
3,30,3.97444823157424935e+03,3.97444823157424935e+03,1.4651364419987658
4,39,3.97444823157424935e+03,3.98663773152203930e+03,1.904992145995493
5,48,3.44691026750356605e+03,3.44691026750356605e+03,2.344982140995853
6,55,2.37730057889063210e+03,2.37730057889063210e+03,2.6867245100002037
7,63,2.36276950651263041e+03,2.36276950651263041e+03,3.0780306609958643
8,71,1.80196191169848703e+03,1.80196191169848703e+03,3.4729024989937898
9,76,1.80196191169848703e+03,1.80959543389801638e+03,3.7179610609964584
10,82,1.80196191169848703e+03,1.83048748233836159e+03,4.010952582997561
11,88,1.74643062131488909e+03,1.74643062131488909e+03,4.302210093999747
12,95,1.72349692109787975e+03,1.72349692109787975e+03,4.639953100995626
13,101,1.71989685074783051e+03,1.71989685074783051e+03,4.932304090994876
14,107,1.38782237551234152e+03,1.38782237551234152e+03,5.225481538000167
15,114,1.38782237551234152e+03,1.48268998447479157e+03,5.565623827998934
16,122,1.38782237551234152e+03,1.42766005143386610e+03,5.955324356997153
17,130,1.38782237551234152e+03,1.40186588242896892e+03,6.348530311996001
18,134,1.36443757243182040e+03,1.36443757243182040e+03,6.545900084995083
19,143,1.19116139912058225e+03,1.19116139912058225e+03,6.984596657996008
20,148,1.10250497546365023e+03,1.10250497546365023e+03,7.229234376995009
21,155,1.05910221229502395e+03,1.05910221229502395e+03,7.569222332997015
22,162,8.86705210269602276e+02,8.86705210269602276e+02,7.907974639994791
23,166,8.86705210269602276e+02,9.52121090777930135e+02,8.102792665995366
24,172,7.80926368788654599e+02,7.80926368788654599e+02,8.393620749993715
25,180,7.58975034462429335e+02,7.58975034462429335e+02,8.782750893995399
26,185,7.52850647467471731e+02,7.52850647467471731e+02,9.024305409999215
27,189,7.52850647467471731e+02,9.98336562935210736e+02,9.222587131000182
28,194,7.52850647467471731e+02,8.12420743908471877e+02,9.467070426995633
29,201,6.09605927640815594e+02,6.09605927640815594e+02,9.809062071995868
30,206,5.87871614612571420e+02,5.87871614612571420e+02,10.053136066999286
31,212,5.31881749705011089e+02,5.31881749705011089e+02,10.34558623299381
32,218,5.31881749705011089e+02,6.62522283065497163e+02,10.638784373993985
33,227,5.31881749705011089e+02,5.91501981764727589e+02,11.076886256996659
34,235,4.16707325033198742e+02,4.16707325033198742e+02,11.467737106999266
35,243,4.04467907905116476e+02,4.04467907905116476e+02,11.859234147996176
36,247,2.82084526225319166e+02,2.82084526225319166e+02,12.056069550999382
37,255,2.07418795237022749e+02,2.07418795237022749e+02,12.445347809996747
38,259,2.07418795237022749e+02,2.16759901630870161e+02,12.641537412993785
39,266,1.49339386884423845e+02,1.49339386884423845e+02,12.984553403999598
40,268,1.13440346658435985e+02,1.13440346658435985e+02,13.08568412999739
41,275,5.44016475807533268e+01,5.44016475807533268e+01,13.431489214999601
42,280,4.64241364980426496e+01,4.64241364980426496e+01,13.676716915993893
43,288,4.64241364980426496e+01,6.13770422975526202e+01,14.061645667999983
44,292,4.64241364980426496e+01,7.94890904208928077e+01,14.256467122999311
45,298,4.64241364980426496e+01,5.19089388728935148e+01,14.546841617993778
46,304,3.93886040038565142e+01,3.93886040038565142e+01,14.840435127996898
47,311,2.41229723483325564e+01,2.41229723483325564e+01,15.181997002997377
48,318,2.41229723483325564e+01,2.99073324569623580e+01,15.524366736994125
49,326,2.24783167973175253e+01,2.24783167973175253e+01,15.921675250996486
50,331,2.24783167973175253e+01,2.37101301596495837e+01,16.166617015995143
51,338,2.24783167973175253e+01,3.65246177734189459e+01,16.506920361993252
52,348,2.24783167973175253e+01,2.69518253054409556e+01,16.996287493995624
53,355,2.24783167973175253e+01,2.65573237083162681e+01,17.3376264529943
54,363,2.18454751904533779e+01,2.18454751904533779e+01,17.728784854996775
55,369,2.11211214357012977e+01,2.11211214357012977e+01,18.021166348997212
56,377,2.11211214357012977e+01,2.13658969530284040e+01,18.408959216998483
57,383,2.11211214357012977e+01,2.50832773224257757e+01,18.70266761399398
58,387,2.11211214357012977e+01,2.31937991880678567e+01,18.900514051994833
59,393,2.09726177269387506e+01,2.09726177269387506e+01,19.19507773499936
60,398,2.09726177269387506e+01,2.42390008918329904e+01,19.441369423999276
61,407,2.02176301468293858e+01,2.02176301468293858e+01,19.881882794994453
62,414,2.02176301468293858e+01,2.43240363826629569e+01,20.228404482993938
63,422,2.02176301468293858e+01,2.14051993710500739e+01,20.61949587699928
64,426,2.02176301468293858e+01,2.55838334866781238e+01,20.81774190899887
65,436,2.02176301468293858e+01,2.39335474555092169e+01,21.306593817993416
66,442,1.95455130565118473e+01,1.95455130565118473e+01,21.606519818997185
67,448,1.95455130565118473e+01,2.24524442906123767e+01,21.900748697997187
68,455,1.93077076721021754e+01,1.93077076721021754e+01,22.243802971999685
