"Iter.","Eval.","Best","Current","Time m:s"
0,10,4.08735656087924593e+00,4.08735656087924593e+00,0.3892766169992683
1,20,4.05006186362057718e+00,4.05006186362057718e+00,0.7775671969993709
2,30,4.03432875049473871e+00,4.03432875049473871e+00,1.1606952269994508
3,38,4.03432875049473871e+00,4.04049180670800379e+00,1.4647212519994355
4,47,4.02182085540059475e+00,4.02182085540059475e+00,1.8084788569994998
5,55,4.01770608282947528e+00,4.01770608282947528e+00,2.1136370219992386
6,62,4.01770608282947528e+00,4.02620272341354113e+00,2.3807748330000322
7,69,4.01770608282947528e+00,4.03138973530836164e+00,2.6545869799992943
8,75,4.01770608282947528e+00,4.02495189075471238e+00,2.8843269900007726
9,84,4.01546124048006980e+00,4.01546124048006980e+00,3.225487745999999
10,91,4.01546124048006980e+00,4.01749882550919235e+00,3.492765381999561
11,98,4.01546124048006980e+00,4.02290215919080030e+00,3.759870337000393
12,105,4.01198526732016614e+00,4.01198526732016614e+00,4.0256005770006595
13,114,4.01198526732016614e+00,4.02254941444109360e+00,4.369335969999156
14,123,4.01198526732016614e+00,4.01319249963896585e+00,4.71447201599949
15,133,4.01198526732016614e+00,4.01341290473012346e+00,5.098130372000014
16,142,4.01198526732016614e+00,4.01259175287905823e+00,5.44427088699922
17,152,4.01060839482152875e+00,4.01060839482152875e+00,5.82415273100014
18,160,4.01023116858287576e+00,4.01023116858287576e+00,6.132173687999966
19,170,4.00483972717526360e+00,4.00483972717526360e+00,6.517058856999938
20,180,4.00483972717526360e+00,4.00498017826156438e+00,6.909737891999612
21,190,4.00052367682515708e+00,4.00052367682515708e+00,7.294760687000235
22,198,4.00007826317408544e+00,4.00007826317408544e+00,7.602256471000146
23,206,3.99899856329730419e+00,3.99899856329730419e+00,7.917961226999978
24,216,3.99693240107420333e+00,3.99693240107420333e+00,8.297854729000392
25,223,3.99038831125369242e+00,3.99038831125369242e+00,8.570065959000203
26,232,3.99038831125369242e+00,3.99311770454903270e+00,8.913499623000462
27,241,3.99038831125369242e+00,3.99661692056966933e+00,9.256358184999044
28,248,3.99034071172283644e+00,3.99034071172283644e+00,9.527111673000036
29,255,3.99034071172283644e+00,3.99183588346558160e+00,9.797008056000777
30,265,3.99034071172283644e+00,3.99346576805263398e+00,10.189676960000725
31,274,3.99034071172283644e+00,3.99165448316987614e+00,10.537347067000155
32,283,3.98758665549686997e+00,3.98758665549686997e+00,10.892166322000776
33,293,3.98263264042926712e+00,3.98263264042926712e+00,11.27850734599997
34,301,3.98098968403070641e+00,3.98098968403070641e+00,11.589961416000733
35,310,3.97557758220660062e+00,3.97557758220660062e+00,11.93702255199969
36,319,3.97502719967495732e+00,3.97502719967495732e+00,12.284182829000201
37,328,3.97014041940952955e+00,3.97014041940952955e+00,12.630929040999035
38,335,3.97014041940952955e+00,3.97472136657252362e+00,12.901482211000257
39,341,3.96885586516127953e+00,3.96885586516127953e+00,13.131630522000705
40,348,3.96885586516127953e+00,3.97615239365690254e+00,13.399528534999263
41,355,3.96645097504381949e+00,3.96645097504381949e+00,13.670920553999167
42,363,3.96645097504381949e+00,3.97137494181662909e+00,13.98347115999968
43,372,3.96388445647925547e+00,3.96388445647925547e+00,14.324644091000664
44,380,3.95890989766867429e+00,3.95890989766867429e+00,14.630228845999227
45,389,3.94615390373613506e+00,3.94615390373613506e+00,14.975577114999396
46,396,3.94615390373613506e+00,3.95729947211581523e+00,15.242601867999838
47,400,3.94615390373613506e+00,3.96278746312446506e+00,15.395569299000272
48,409,3.94615390373613506e+00,3.95386472899788144e+00,15.735313772000154
49,417,3.94615390373613506e+00,3.95578402326738665e+00,16.037668847000532
50,426,3.94615390373613506e+00,3.94885227474638700e+00,16.380910914000196
51,433,3.94615390373613506e+00,3.94964192240086298e+00,16.645631377999962
52,441,3.93454685529180237e+00,3.93454685529180237e+00,16.954267559000073
53,448,3.93097567335854237e+00,3.93097567335854237e+00,17.217177586000616
54,455,3.92656545065288576e+00,3.92656545065288576e+00,17.4841275710005
55,462,3.92656545065288576e+00,3.93120770811316689e+00,17.75040613099918
56,464,3.92656545065288576e+00,3.93037518179517908e+00,17.835147527999652
57,471,3.92464945636428597e+00,3.92464945636428597e+00,18.09910495800068
58,477,3.91876413214536212e+00,3.91876413214536212e+00,18.331768002999524
59,484,3.91876413214536212e+00,3.92167397267468631e+00,18.597079740999106
60,490,3.91138688310979399e+00,3.91138688310979399e+00,18.836553658000412
61,494,3.90152553285247583e+00,3.90152553285247583e+00,18.99115858999903
62,503,3.90152553285247583e+00,3.90958080904854288e+00,19.332586345999516
63,510,3.90152553285247583e+00,3.90656916613808214e+00,19.599170966999736
64,517,3.89535746906000035e+00,3.89535746906000035e+00,19.866561417999037
65,522,3.89535746906000035e+00,3.89929614307775774e+00,20.05861213800017
66,528,3.89535746906000035e+00,3.90297165574706861e+00,20.28519307299939
67,536,3.88829772447869004e+00,3.88829772447869004e+00,20.58911155900023
68,543,3.88829772447869004e+00,3.89156007140116733e+00,20.855159389999244
69,553,3.88829772447869004e+00,3.89201706488925137e+00,21.237368607000462
70,560,3.88437093450120807e+00,3.88437093450120807e+00,21.51311247400008
71,566,3.87749533722148421e+00,3.87749533722148421e+00,21.743791408000106
72,571,3.87749533722148421e+00,3.88047453840687950e+00,21.93335259000014
73,577,3.87567845925503018e+00,3.87567845925503018e+00,22.15938877500048
74,583,3.87321912370626809e+00,3.87321912370626809e+00,22.38779723799962
75,592,3.87321912370626809e+00,3.87666104244333409e+00,22.733740693000072
76,597,3.87321912370626809e+00,3.87961076271774363e+00,22.92317208500026
77,606,3.87250393263425385e+00,3.87250393263425385e+00,23.270790721000594
78,615,3.86737026375570103e+00,3.86737026375570103e+00,23.609907523999937
79,622,3.86737026375570103e+00,3.87406480354655125e+00,23.8816085870003
80,630,3.86737026375570103e+00,3.87313957044995538e+00,24.189802175000295
81,640,3.86380349266322964e+00,3.86380349266322964e+00,24.57368445999964
82,644,3.86380349266322964e+00,3.86701990695549780e+00,24.726786171999265
83,652,3.85899360559493543e+00,3.85899360559493543e+00,25.028823086000557
84,660,3.85353716171203065e+00,3.85353716171203065e+00,25.335829657999057
85,668,3.85353716171203065e+00,3.85935350198419824e+00,25.636183030999746
86,675,3.84501648825255993e+00,3.84501648825255993e+00,25.90189070499946
87,683,3.84336343139149239e+00,3.84336343139149239e+00,26.207160239000586
88,688,3.84336343139149239e+00,3.84901801727415016e+00,26.399904068999604
89,694,3.83893861553056315e+00,3.83893861553056315e+00,26.633736088999285
90,702,3.83182869070129506e+00,3.83182869070129506e+00,26.937918154000727
91,710,3.83169495198943322e+00,3.83169495198943322e+00,27.243403509999553
92,716,3.83169495198943322e+00,3.83390165632678981e+00,27.474765749000653
93,724,3.83169495198943322e+00,3.83969575348547254e+00,27.778157050999653
94,732,3.83169495198943322e+00,3.83314157116416609e+00,28.081228180000835
95,736,3.82288285990515320e+00,3.82288285990515320e+00,28.235153468000135
96,741,3.82288285990515320e+00,3.83243793277031841e+00,28.42621573100041
97,750,3.82181503636643782e+00,3.82181503636643782e+00,28.767304543000137
98,755,3.82025157825396633e+00,3.82025157825396633e+00,28.96205944800022
99,761,3.81899341771284329e+00,3.81899341771284329e+00,29.18968588899952
100,770,3.81899341771284329e+00,3.82013568428699068e+00,29.528841957000623
101,777,3.81899341771284329e+00,3.82360118529177218e+00,29.79962986300052
102,786,3.81899341771284329e+00,3.81922187236689092e+00,30.138853418999133
103,795,3.81899341771284329e+00,3.82040179386300371e+00,30.477144989999942
104,803,3.81429042807341245e+00,3.81429042807341245e+00,30.777134526000737
105,810,3.81429042807341245e+00,3.81618744938160592e+00,31.04227956899922
106,817,3.81429042807341245e+00,3.81685349664955531e+00,31.30915375299992
107,825,3.81167490515612872e+00,3.81167490515612872e+00,31.60955582799943
108,835,3.80618806805806065e+00,3.80618806805806065e+00,31.988869856000747
109,842,3.80579534643556050e+00,3.80579534643556050e+00,32.25043801799984
110,849,3.80579534643556050e+00,3.80612760797118588e+00,32.51519803799965
111,856,3.80501752507836244e+00,3.80501752507836244e+00,32.78582241799995
112,864,3.80360925907758451e+00,3.80360925907758451e+00,33.085513501000605
113,871,3.79436604878345340e+00,3.79436604878345340e+00,33.348458280999694
114,876,3.79436604878345340e+00,3.80097461888384958e+00,33.536404537000635
115,884,3.79436604878345340e+00,3.79903459966328860e+00,33.84545027999957
116,890,3.79436604878345340e+00,3.79575105157922810e+00,34.070592968999335
117,895,3.79237929827100073e+00,3.79237929827100073e+00,34.260275925000315
118,896,3.78966201852362738e+00,3.78966201852362738e+00,34.30119906000073
119,903,3.78803090226152461e+00,3.78803090226152461e+00,34.57136882600025
120,907,3.78726066039947051e+00,3.78726066039947051e+00,34.723995861999356
121,910,3.78726066039947051e+00,3.79969276105800935e+00,34.84532700999989
122,917,3.78726066039947051e+00,3.79462285422689716e+00,35.10856434299967
123,925,3.78726066039947051e+00,3.78949121376857478e+00,35.418691893999494
124,935,3.78726066039947051e+00,3.79120926584349904e+00,35.79564933800066
125,943,3.78726066039947051e+00,3.78916618821176643e+00,36.095282026999485
126,951,3.78543946717620194e+00,3.78543946717620194e+00,36.39641773299991
127,959,3.78543946717620194e+00,3.78588230337984433e+00,36.69800932399994
128,967,3.78543946717620194e+00,3.78812481444573157e+00,37.002287314999194
129,977,3.78112972292198890e+00,3.78112972292198890e+00,37.380906497999604
130,985,3.77985286093846229e+00,3.77985286093846229e+00,37.68476911499965
131,993,3.77636811493236646e+00,3.77636811493236646e+00,37.988499011000386
132,1002,3.77636811493236646e+00,3.77702963695689276e+00,38.32682867999938
133,1006,3.77562615788813449e+00,3.77562615788813449e+00,38.482025040000735
134,1008,3.77359717311795650e+00,3.77359717311795650e+00,38.55823863099977
135,1009,3.77359717311795650e+00,3.78281799723175105e+00,38.59690391000004
136,1012,3.77359717311795650e+00,3.77815729146810364e+00,38.71112456999981
137,1020,3.77359717311795650e+00,3.77885525881699103e+00,39.01140990500062
