"Iter.","Eval.","Best","Current","Time m:s"
0,9,6.71901693077905747e+02,6.71901693077905747e+02,0.40957907000847626
1,18,6.38291028673217511e+02,6.38291028673217511e+02,0.8152123629988637
2,25,5.96344800529524377e+02,5.96344800529524377e+02,1.1316776410094462
3,33,5.26329029728708292e+02,5.26329029728708292e+02,1.49508659800631
4,43,3.59457880207640130e+02,3.59457880207640130e+02,1.946385333998478
5,53,3.08736116511223031e+02,3.08736116511223031e+02,2.397217243007617
6,63,1.90957994563114994e+02,1.90957994563114994e+02,2.8493881470058113
7,69,1.27380370120926315e+02,1.27380370120926315e+02,3.120826529004262
8,75,5.76629973350561755e+01,5.76629973350561755e+01,3.392097376010497
9,81,5.76629973350561755e+01,7.06631993365515143e+01,3.6631814790016506
10,85,3.49290556319801766e+01,3.49290556319801766e+01,3.843047258007573
11,90,2.10059422556723057e+01,2.10059422556723057e+01,4.067514532012865
12,95,2.10059422556723057e+01,2.25978233656529817e+01,4.292141334008193
13,101,7.69982808943842301e+00,7.69982808943842301e+00,4.564527641006862
14,104,7.69982808943842301e+00,1.47462085926715236e+01,4.6996553800127
15,109,7.69982808943842301e+00,1.50540382329661675e+01,4.9245069780008635
16,113,7.69982808943842301e+00,1.31350831635277068e+01,5.1070192140032304
17,118,7.69982808943842301e+00,9.56183200582333015e+00,5.33091107000655
18,128,7.01428971068249663e+00,7.01428971068249663e+00,5.777039754000725
19,135,5.56553493808602173e+00,5.56553493808602173e+00,6.089522114009014
20,138,5.56553493808602173e+00,5.65819454502732988e+00,6.225324197002919
21,142,5.56553493808602173e+00,5.67387622539503678e+00,6.405062656005612
22,148,5.50065078825020226e+00,5.50065078825020226e+00,6.67328425400774
23,152,5.47270734729082697e+00,5.47270734729082697e+00,6.853165225009434
24,158,5.47270734729082697e+00,5.47271673385828894e+00,7.1216566340008285
25,164,5.29961254597843201e+00,5.29961254597843201e+00,7.389357119012857
26,169,5.29961254597843201e+00,5.54826952478994695e+00,7.613013455003966
27,175,5.29961254597843201e+00,5.38110280193806378e+00,7.883638988001621
28,179,5.29961254597843201e+00,5.38684877477641866e+00,8.064703139010817
29,186,5.11558605536193411e+00,5.11558605536193411e+00,8.380528645007871
30,194,5.11558605536193411e+00,5.15854054772455139e+00,8.741310666009667
31,199,5.03823016729099216e+00,5.03823016729099216e+00,8.967597337003099
32,204,5.02484494133177151e+00,5.02484494133177151e+00,9.193129710998619
33,209,5.02484494133177151e+00,5.16544348201192527e+00,9.418345077006961
34,216,5.02484494133177151e+00,5.23869112754285826e+00,9.73261955199996
35,222,5.02484494133177151e+00,5.12877128967610663e+00,10.003908322003554
36,232,5.02484494133177151e+00,5.05386697425058173e+00,10.454629214000306
37,241,5.02484494133177151e+00,5.02583348192190460e+00,10.860616945006768
38,249,4.78939010539560517e+00,4.78939010539560517e+00,11.220587373012677
39,253,4.78939010539560517e+00,4.83939675302975303e+00,11.400190603002557
40,260,4.74178765850231887e+00,4.74178765850231887e+00,11.714891016003094
41,265,4.62751026844097701e+00,4.62751026844097701e+00,11.940261394003755
42,273,4.46462896775910778e+00,4.46462896775910778e+00,12.299136533009005
43,279,4.44739697660553190e+00,4.44739697660553190e+00,12.570205977011938
44,286,4.44739697660553190e+00,4.52410049066891684e+00,12.885514712004806
45,294,4.43684525876270186e+00,4.43684525876270186e+00,13.24555196100846
46,300,4.34788597006808075e+00,4.34788597006808075e+00,13.51601117401151
47,306,4.29331339802186118e+00,4.29331339802186118e+00,13.786851618002402
48,314,4.13442507791076697e+00,4.13442507791076697e+00,14.14567273001012
49,321,4.11437758879759308e+00,4.11437758879759308e+00,14.460161744005745
50,328,3.98915581632713190e+00,3.98915581632713190e+00,14.777454338007374
51,331,3.98915581632713190e+00,4.00254543166668775e+00,14.913678330005496
52,336,3.95414427953234338e+00,3.95414427953234338e+00,15.138919878008892
53,343,3.77960490610419519e+00,3.77960490610419519e+00,15.453486958998838
54,349,3.77960490610419519e+00,3.92597784933503480e+00,15.72489603800932
55,357,3.77960490610419519e+00,3.78734398461859501e+00,16.0857407959993
56,365,3.75900976723539060e+00,3.75900976723539060e+00,16.445406992002972
57,371,3.70400223710295817e+00,3.70400223710295817e+00,16.71710487200471
58,380,3.62801308472779382e+00,3.62801308472779382e+00,17.121814037003787
59,387,3.43203312253126569e+00,3.43203312253126569e+00,17.437420212008874
60,395,3.20684220049972035e+00,3.20684220049972035e+00,17.79963910000515
61,405,3.08421361323550425e+00,3.08421361323550425e+00,18.253525961001287
62,410,3.05341951171327741e+00,3.05341951171327741e+00,18.479092806010158
63,416,3.05341951171327741e+00,3.11486680709558161e+00,18.749723175002146
64,422,3.05341951171327741e+00,3.08944541608455259e+00,19.01797067100415
65,426,3.05341951171327741e+00,3.09203091082601667e+00,19.197980734010343
66,433,2.95087046097717698e+00,2.95087046097717698e+00,19.519033208998735
67,440,2.95087046097717698e+00,2.95138648806981418e+00,19.836535716007347
68,444,2.95087046097717698e+00,3.03405912211631046e+00,20.01920896100637
69,451,2.93619576784059344e+00,2.93619576784059344e+00,20.337403348006774
70,458,2.93619576784059344e+00,2.94215451852744403e+00,20.654504006000934
71,466,2.93619576784059344e+00,2.94720467992662716e+00,21.015996334012016
72,474,2.93619576784059344e+00,2.93871704049010241e+00,21.376652273000218
73,483,2.91659784617371454e+00,2.91659784617371454e+00,21.78134209300333
74,492,2.91659784617371454e+00,2.91735972506521835e+00,22.183022626006277
75,502,2.91645359693181527e+00,2.91645359693181527e+00,22.633221071009757
76,511,2.91645359693181527e+00,2.92712070806797042e+00,23.037297684000805
77,521,2.91645359693181527e+00,2.92496444396776001e+00,23.48406941400026
78,529,2.91645359693181527e+00,2.92797024865485467e+00,23.84294488900923
79,539,2.91645359693181527e+00,2.92298366872645898e+00,24.28937481000321
80,548,2.91645359693181527e+00,2.92584240185536659e+00,24.693425391000346
81,558,2.91514621183102784e+00,2.91514621183102784e+00,25.139826399012236
82,566,2.91514621183102784e+00,2.92152453621762520e+00,25.49906685500173
83,576,2.91514621183102784e+00,2.91623222326223841e+00,25.94953516300302
84,585,2.91507933269425790e+00,2.91507933269425790e+00,26.353345223004
85,595,2.91507933269425790e+00,2.91735389012127566e+00,26.805174482011353
86,605,2.91507933269425790e+00,2.91602797469674035e+00,27.254785431010532
87,615,2.91507933269425790e+00,2.91618590949680456e+00,27.702778222010238
88,625,2.91472341929555556e+00,2.91472341929555556e+00,28.15151055100432
89,635,2.91472341929555556e+00,2.91557526733193395e+00,28.604443728007027
90,645,2.91472341929555556e+00,2.91509244008242474e+00,29.056648504003533
91,655,2.91472341929555556e+00,2.91516012927059665e+00,29.506402936007362
92,665,2.91472341929555556e+00,2.91504581951959008e+00,29.958506729002693
93,675,2.91472341929555556e+00,2.91551078595332891e+00,30.409949198001414
94,685,2.91472341929555556e+00,2.91522306427327127e+00,30.85812754801009
95,695,2.91472341929555556e+00,2.91523296592249226e+00,31.306483179010684
96,705,2.91472341929555556e+00,2.91488034660693307e+00,31.75481267600844
97,715,2.91472341929555556e+00,2.91508011016578150e+00,32.20243349400698
98,725,2.91472341929555556e+00,2.91504659883789241e+00,32.651322935998905
99,735,2.91472341929555556e+00,2.91520491674622395e+00,33.10310163200484
100,745,2.91472341929555556e+00,2.91501457214797766e+00,33.552767146000406
101,755,2.91470156809794689e+00,2.91470156809794689e+00,34.0058527180081
102,765,2.91470156809794689e+00,2.91491634492573315e+00,34.45577949400467
103,775,2.91470156809794689e+00,2.91485369219422941e+00,34.907657943011145
104,785,2.91466142211668089e+00,2.91466142211668089e+00,35.36069909601065
105,795,2.91466142211668089e+00,2.91475185367181133e+00,35.81064793599944
106,805,2.91459791530883461e+00,2.91459791530883461e+00,36.25949015900551
107,815,2.91442362384579079e+00,2.91442362384579079e+00,36.71102308901027
108,825,2.91442362384579079e+00,2.91451894529075917e+00,37.16154968101182
109,835,2.91442308183169674e+00,2.91442308183169674e+00,37.613039218005724
110,845,2.91430114255737971e+00,2.91430114255737971e+00,38.06166551201022
111,855,2.91385385413424869e+00,2.91385385413424869e+00,38.512164018000476
112,863,2.91385385413424869e+00,2.91396567507023407e+00,38.87298642900714
