"Iter.","Eval.","Best","Current","Time m:s"
0,10,1.99733207789305922e+01,1.99733207789305922e+01,0.4690548100043088
1,20,1.92433004606091984e+01,1.92433004606091984e+01,0.9379428529937286
2,29,1.85980976806172613e+01,1.85980976806172613e+01,1.3603171409922652
3,39,1.74666626451218718e+01,1.74666626451218718e+01,1.8245021079928847
4,48,1.58862624673052757e+01,1.58862624673052757e+01,2.2425964750000276
5,58,1.46805477187795166e+01,1.46805477187795166e+01,2.7071680609951727
6,68,1.25493337563119205e+01,1.25493337563119205e+01,3.1733001429965952
7,78,1.12155598322328807e+01,1.12155598322328807e+01,3.6382926490041427
8,87,1.04044965141385397e+01,1.04044965141385397e+01,4.056387941003777
9,96,9.58418938574606472e+00,9.58418938574606472e+00,4.472886314993957
10,103,9.33353939824013601e+00,9.33353939824013601e+00,4.795904655999038
11,108,8.67407408571182437e+00,8.67407408571182437e+00,5.026087277001352
12,115,8.34804098567602360e+00,8.34804098567602360e+00,5.348239204991842
13,122,7.64784503919776704e+00,7.64784503919776704e+00,5.669323946000077
14,130,7.35078142558775127e+00,7.35078142558775127e+00,6.036181211995427
15,138,7.27683498794342576e+00,7.27683498794342576e+00,6.416038465002202
16,144,6.99983866312964143e+00,6.99983866312964143e+00,6.692293546992005
17,151,6.14783777903838669e+00,6.14783777903838669e+00,7.016059984991443
18,159,6.07262869180267195e+00,6.07262869180267195e+00,7.384561525002937
19,165,4.83041309765766158e+00,4.83041309765766158e+00,7.660681342997123
20,171,4.45953876735117305e+00,4.45953876735117305e+00,7.936418366996804
21,175,4.45166777425371230e+00,4.45166777425371230e+00,8.12152826700185
22,182,4.42534464350645340e+00,4.42534464350645340e+00,8.444319554997492
23,187,4.21532007255238561e+00,4.21532007255238561e+00,8.676887976995204
24,195,4.21532007255238561e+00,4.24034158904023428e+00,9.044104435000918
25,202,4.08294120783535064e+00,4.08294120783535064e+00,9.36417394799355
26,211,4.06813299903644499e+00,4.06813299903644499e+00,9.776363659999333
27,217,4.06738404716540281e+00,4.06738404716540281e+00,10.050879164002254
28,221,4.06726606852345540e+00,4.06726606852345540e+00,10.23792413699266
29,226,4.06726411300335222e+00,4.06726411300335222e+00,10.467920740993577
30,232,4.06726243320791347e+00,4.06726243320791347e+00,10.748252973004128
31,238,4.06726243320791347e+00,4.06726442081027262e+00,11.023232646999531
32,243,4.06726163445126687e+00,4.06726163445126687e+00,11.253388160999748
33,248,4.06726163445126687e+00,4.06726384697726928e+00,11.48210808300064
34,251,4.06726163445126687e+00,4.06726175962064751e+00,11.623038580000866
35,256,4.06726144731917305e+00,4.06726144731917305e+00,11.854613599993172
36,262,4.06725911826319830e+00,4.06725911826319830e+00,12.141364233000786
37,268,4.06725911826319830e+00,4.06726372544585235e+00,12.418416868997156
38,277,4.06725911826319830e+00,4.06726304726836929e+00,12.833458712004358
39,286,4.06725911826319830e+00,4.06726308818952642e+00,13.24880618599127
40,296,4.06725911826319830e+00,4.06726302230057168e+00,13.715986544993939
41,306,4.06725911826319830e+00,4.06726230001100397e+00,14.182062936000875
42,315,4.06725911826319830e+00,4.06726250014084556e+00,14.597462780002388
43,321,4.06725911826319830e+00,4.06726234625313676e+00,14.874877262991504
44,331,4.06725911826319830e+00,4.06726218817743046e+00,15.337821698005428
45,336,4.06725911826319830e+00,4.06726245907664907e+00,15.571431641001254
46,344,4.06725911826319830e+00,4.06726143981568100e+00,15.94721644699166
47,351,4.06725911826319830e+00,4.06726182318233853e+00,16.270287817998906
48,356,4.06725911826319830e+00,4.06726209383080572e+00,16.504224414995406
49,364,4.06725911826319830e+00,4.06726228439638327e+00,16.875998361996608
50,370,4.06725911826319830e+00,4.06726190053371095e+00,17.156484698003624
51,380,4.06725911826319830e+00,4.06726134671864337e+00,17.62468031499884
52,385,4.06725911826319830e+00,4.06726124468103389e+00,17.85541337399627
53,392,4.06725911826319830e+00,4.06726123623705416e+00,18.191939066004124
54,396,4.06725911826319830e+00,4.06726103326292776e+00,18.377914990996942
55,404,4.06725911826319830e+00,4.06726053705762514e+00,18.7462153009983
56,409,4.06725911826319830e+00,4.06726043685562377e+00,18.978587912992225
57,415,4.06725911826319830e+00,4.06726080321965355e+00,19.257790142000886
58,424,4.06725911826319830e+00,4.06726084753355011e+00,19.672862081002677
59,434,4.06725911826319830e+00,4.06726016052493122e+00,20.136880457997904
60,443,4.06725911826319830e+00,4.06725998079223938e+00,20.553366858992376
61,451,4.06725784441152083e+00,4.06725784441152083e+00,20.92347339699336
62,460,4.06725718516935952e+00,4.06725718516935952e+00,21.338650788995437
63,469,4.06725264956746457e+00,4.06725264956746457e+00,21.755993272992782
64,475,4.06725148033602135e+00,4.06725148033602135e+00,22.034033611998893
65,480,4.06724585364280067e+00,4.06724585364280067e+00,22.267716040994856
66,488,4.06724585364280067e+00,4.06725018493936119e+00,22.63453512500564
67,496,4.06717332458283476e+00,4.06717332458283476e+00,23.00208880500577
68,505,4.06657912957019008e+00,4.06657912957019008e+00,23.416986614000052
69,510,4.06657912957019008e+00,4.06668409117531837e+00,23.648986578991753
70,517,4.06458928181201173e+00,4.06458928181201173e+00,23.973820361003163
71,524,4.05640140380314129e+00,4.05640140380314129e+00,24.29627585799608
72,527,4.05640140380314129e+00,4.06559055929465618e+00,24.437843277992215
73,536,4.05640140380314129e+00,4.06569106332643582e+00,24.854989321000176
74,541,4.05640140380314129e+00,4.06559650758244828e+00,25.08498187600344
75,547,4.05640140380314129e+00,4.06582185968884602e+00,25.364386731002014
76,552,4.05640140380314129e+00,4.06627403596729486e+00,25.594721771005425
77,557,4.05640140380314129e+00,4.06507808182991237e+00,25.825607752994983
78,564,4.05640140380314129e+00,4.06648744852866262e+00,26.15134080599819
79,571,4.05640140380314129e+00,4.06489161774132679e+00,26.48011047199543
80,575,4.05640140380314129e+00,4.06269827334180622e+00,26.66359107599419
81,580,4.05640140380314129e+00,4.05904368361372203e+00,26.895669450997957
82,585,4.05640140380314129e+00,4.06448861970170849e+00,27.12448932499683
83,591,4.05640140380314129e+00,4.06190854189606920e+00,27.402840196999023
84,595,4.05640140380314129e+00,4.06494772006152161e+00,27.583827984999516
85,603,4.05640140380314129e+00,4.06401468474398797e+00,27.954002092999872
86,609,4.05640140380314129e+00,4.06570802162387412e+00,28.231640616999357
87,617,4.05640140380314129e+00,4.06375576828651841e+00,28.60173128900351
88,623,4.05640140380314129e+00,4.05796623941496470e+00,28.87892302700493
89,629,4.05640140380314129e+00,4.06265086214021132e+00,29.156693958997494
90,631,4.05640140380314129e+00,4.06594832183769750e+00,29.251696858002106
91,638,4.05640140380314129e+00,4.06234814236342068e+00,29.578976175005664
92,643,4.05640140380314129e+00,4.06584101539697595e+00,29.80891970299126
93,653,4.05640140380314129e+00,4.06484293404161257e+00,30.267260042004636
94,661,4.05640140380314129e+00,4.05934130162896523e+00,30.632918935996713
95,669,4.05547635111864757e+00,4.05547635111864757e+00,31.001294312998652
96,676,4.05547635111864757e+00,4.06016678398482256e+00,31.324042124004336
97,677,4.05547635111864757e+00,4.06490179656527140e+00,31.371904119994724
98,681,4.05419868851485532e+00,4.05419868851485532e+00,31.55516168300528
99,687,4.05419868851485532e+00,4.05905159637097501e+00,31.83150428600493
100,694,4.05419868851485532e+00,4.05740041581868827e+00,32.153078123999876
101,702,4.05419868851485532e+00,4.05542544541386096e+00,32.5208095949929
102,706,4.05419868851485532e+00,4.05918219292952376e+00,32.70203389199742
103,714,4.05419868851485532e+00,4.06034653625741448e+00,33.06860833299288
104,721,4.05419868851485532e+00,4.05641462655792573e+00,33.38917587399192
105,727,4.05419868851485532e+00,4.06474978119764874e+00,33.665911617004895
106,736,4.05419868851485532e+00,4.06028936771544036e+00,34.08080347700161
107,744,4.05419868851485532e+00,4.06340283865439478e+00,34.44761119999748
108,752,4.05419868851485532e+00,4.06144149921023701e+00,34.81361372700485
109,758,4.05419868851485532e+00,4.06273829362232686e+00,35.09252361400286
110,766,4.05419868851485532e+00,4.06186671931904364e+00,35.45959616199252
111,772,4.05419868851485532e+00,4.06140586726137531e+00,35.73454784999194
112,781,4.05400275611763838e+00,4.05400275611763838e+00,36.14901860599639
113,788,4.05400275611763838e+00,4.05868979192771295e+00,36.46957471600035
114,795,4.05400275611763838e+00,4.05679475667457101e+00,36.793474085003254
115,803,4.05400275611763838e+00,4.05577646445132167e+00,37.158416969003156
116,809,4.05174995470971222e+00,4.05174995470971222e+00,37.43539467199298
117,815,4.05174995470971222e+00,4.05591003207772616e+00,37.70827667899721
118,823,4.05174995470971222e+00,4.05246544804916375e+00,38.07405175099848
119,830,4.05064782288679570e+00,4.05064782288679570e+00,38.39864258799935
120,832,4.05064782288679570e+00,4.05294522653767064e+00,38.49441272500553
121,836,4.05064782288679570e+00,4.05285048474436582e+00,38.67685502200038
122,842,4.05046147390777556e+00,4.05046147390777556e+00,38.952843042992754
123,846,4.05046147390777556e+00,4.05255279962368409e+00,39.13882984299562
124,852,4.04975012485662944e+00,4.04975012485662944e+00,39.4164314459922
125,859,4.04975012485662944e+00,4.05187615246082800e+00,39.75357885999256
126,867,4.04975012485662944e+00,4.05145540045456887e+00,40.12414752799668
127,870,4.04975012485662944e+00,4.05347290337569888e+00,40.26171758399869
128,879,4.04975012485662944e+00,4.05320127151719056e+00,40.67691338599252
129,884,4.04948806670736872e+00,4.04948806670736872e+00,40.906250653992174
130,891,4.04948806670736872e+00,4.05001071391357836e+00,41.22841393199633
131,895,4.04948806670736872e+00,4.05152402949421298e+00,41.4142857179977
132,901,4.04948806670736872e+00,4.05153112177312469e+00,41.690030259997
133,904,4.04948806670736872e+00,4.05051321074556636e+00,41.82994463699288
134,908,4.04948806670736872e+00,4.05063736019330989e+00,42.01265260799846
135,916,4.04948806670736872e+00,4.04993586708903042e+00,42.381084337001084
136,920,4.04948806670736872e+00,4.05063470072260667e+00,42.56633769000473
137,927,4.04948806670736872e+00,4.05041247329417775e+00,42.88751320299343
138,931,4.04860683722496706e+00,4.04860683722496706e+00,43.07485769300547
139,934,4.04860683722496706e+00,4.04974004259598885e+00,43.21213518100558
140,939,4.04823844185548332e+00,4.04823844185548332e+00,43.44452044599166
141,943,4.04823844185548332e+00,4.04834685169569841e+00,43.62939493199519
142,948,4.04823844185548332e+00,4.05079909742539268e+00,43.86038829399331
143,953,4.04823844185548332e+00,4.05185595510691954e+00,44.091529042998445
144,961,4.04823844185548332e+00,4.04956802053940912e+00,44.46210700100346
145,966,4.04823844185548332e+00,4.05064926329782260e+00,44.69475509499898
146,973,4.04823844185548332e+00,4.04949440205655531e+00,45.01813790699816
147,979,4.04823844185548332e+00,4.05097890808709948e+00,45.2980503479921
148,988,4.04823844185548332e+00,4.05058675767538201e+00,45.71340351700201
149,994,4.04528230471620365e+00,4.04528230471620365e+00,45.99851465500251
150,999,4.04528230471620365e+00,4.04719510594622278e+00,46.23094398599642
151,1007,4.04528230471620365e+00,4.04739823840319790e+00,46.6012722029991
