"Iter.","Eval.","Best","Current","Time m:s"
0,9,1.00521677324879777e+00,1.00521677324879777e+00,0.4367226370086428
1,18,1.00521677324879777e+00,1.03714833870330803e+00,0.8714936909964308
2,28,1.00521677324879777e+00,1.46985230270433442e+00,1.3526873360096943
3,37,1.00521677324879777e+00,1.40049237527814308e+00,1.7856162660027621
4,46,1.00521677324879777e+00,1.57141902317502491e+00,2.216871507000178
5,55,1.00521677324879777e+00,1.70503714605055268e+00,2.649009795000893
6,65,1.00521677324879777e+00,1.64964096213154510e+00,3.128810424997937
7,73,1.00521677324879777e+00,1.56777673128219219e+00,3.515285481000319
8,83,1.00521677324879777e+00,1.80602916173310235e+00,3.994697094007279
9,93,1.00521677324879777e+00,1.08683431349990300e+00,4.474960959007149
10,103,9.09572534206747219e-01,9.09572534206747219e-01,4.956708878002246
11,113,9.04649143765765995e-01,9.04649143765765995e-01,5.441729726997437
12,123,9.04649143765765995e-01,9.32341322720466437e-01,5.925216026997077
13,133,9.04649143765765995e-01,9.19722268692662714e-01,6.409904865009594
14,143,9.04649143765765995e-01,1.00330463318339080e+00,6.894864978996338
15,153,9.04649143765765995e-01,1.13262989157552441e+00,7.376529428001959
16,163,8.70660734323450258e-01,8.70660734323450258e-01,7.863118991997908
17,173,8.48736037794586506e-01,8.48736037794586506e-01,8.34572515799664
18,183,8.48736037794586506e-01,8.55081591862510870e-01,8.829424761002883
19,193,8.48736037794586506e-01,9.00132183764997928e-01,9.313859436006169
20,203,8.48736037794586506e-01,9.66504459431626439e-01,9.797538979997626
21,213,8.48736037794586506e-01,9.22375122865841557e-01,10.280804348003585
22,223,8.48736037794586506e-01,9.46795856119210466e-01,10.761557814999833
23,233,8.48736037794586506e-01,9.60535866832244123e-01,11.245566825004062
24,243,8.48736037794586506e-01,8.52632128480528162e-01,11.727261941006873
25,253,8.38619537314513663e-01,8.38619537314513663e-01,12.211456422010087
26,263,8.38619537314513663e-01,8.60075884025731652e-01,12.694908371006022
27,273,8.38619537314513663e-01,8.73835444205165124e-01,13.176005569999688
28,283,8.38619537314513663e-01,8.50460559857950105e-01,13.660772015005932
29,293,8.17909870934289907e-01,8.17909870934289907e-01,14.144702596997377
30,303,8.17909870934289907e-01,8.86849228752285890e-01,14.630796880999696
