"Iter.","Eval.","Best","Current","Time m:s"
0,9,1.03827839286185137e+06,1.03827839286185137e+06,1.051234675993328
1,19,7.06624064490689780e+05,7.06624064490689780e+05,1.973934517998714
2,29,4.01946558663162054e+05,4.01946558663162054e+05,2.906271444997401
3,39,3.26139913074591139e+05,3.26139913074591139e+05,3.876046100995154
4,49,2.29516355830426241e+05,2.29516355830426241e+05,4.824760253002751
5,59,8.18692189153417421e+04,8.18692189153417421e+04,5.7574296569946455
6,68,4.17097845864757473e+04,4.17097845864757473e+04,6.61982545000501
7,77,2.26360966269126438e+04,2.26360966269126438e+04,7.525025941999047
8,87,5.22533594576845007e+03,5.22533594576845007e+03,8.483662529004505
9,96,1.76573214334568183e+03,1.76573214334568183e+03,9.355905877993791
10,105,1.01057808156627380e+03,1.01057808156627380e+03,10.247810411005048
11,113,1.01057808156627380e+03,1.40943849228692807e+03,11.066204168993863
12,123,3.30211829586515933e+02,3.30211829586515933e+02,12.033735136006726
13,132,3.49442311887443324e+01,3.49442311887443324e+01,12.902111517993035
14,139,3.21255569335750124e+01,3.21255569335750124e+01,13.60202674100583
15,148,8.29037202871167267e+00,8.29037202871167267e+00,14.531111193995457
16,155,6.89403397574591104e+00,6.89403397574591104e+00,15.252059339007246
17,163,6.89403397574591104e+00,6.93440077131002219e+00,16.083083096003975
18,170,5.37520639943739731e+00,5.37520639943739731e+00,16.81559027300682
19,179,3.61062893894926784e+00,3.61062893894926784e+00,17.790392997005256
20,184,3.61062893894926784e+00,4.39732102286003101e+00,18.32607685799303
21,193,3.61062893894926784e+00,4.81198231106733854e+00,19.282253529003356
22,202,3.61062893894926784e+00,3.77135732673545343e+00,20.248282776999986
23,212,3.61062893894926784e+00,3.64936884343724932e+00,21.328005602001213
24,222,3.61062893894926784e+00,4.04091866831558910e+00,22.417156948999036
25,230,3.61062893894926784e+00,5.69749575203773695e+00,23.291899058996933
26,236,3.31789742600605919e+00,3.31789742600605919e+00,23.95503899999312
27,243,3.31789742600605919e+00,3.53786025933940795e+00,24.751716832994134
28,252,2.17303215046362208e+00,2.17303215046362208e+00,25.75170026300475
29,260,2.17303215046362208e+00,2.58179288662701723e+00,26.648491607993492
30,270,2.17303215046362208e+00,2.23657361704388835e+00,27.778512193995994
31,279,2.17303215046362208e+00,3.47319054371255076e+00,28.81085337800323
32,288,2.17303215046362208e+00,3.03231874256918532e+00,29.85297057199932
33,298,2.17303215046362208e+00,3.91040681554730796e+00,30.99121979800111
34,308,1.05305765380084582e+00,1.05305765380084582e+00,32.134001601007185
35,318,1.05305765380084582e+00,3.08603210869511413e+00,33.28965073400468
36,328,1.05305765380084582e+00,3.73171881393615257e+00,34.45300843199948
37,338,1.05305765380084582e+00,1.57465145224854375e+00,35.60618652499397
