"Iter.","Eval.","Best","Current","Time m:s"
0,10,2.38056303626178815e+04,2.38056303626178815e+04,1.468323719998807
1,20,5.28967442220657813e+03,5.28967442220657813e+03,2.7382157009997172
2,30,2.16530891408415584e+02,2.16530891408415584e+02,3.9914115169995057
3,40,4.20088072929798884e+00,4.20088072929798884e+00,5.132664437998756
4,50,3.09792814417194373e+00,3.09792814417194373e+00,6.286340107999422
5,60,2.30147625620551688e+00,2.30147625620551688e+00,7.406464550000237
6,70,2.30147625620551688e+00,3.60699821074064353e+00,8.514087420999203
7,80,2.30147625620551688e+00,4.36418373278109684e+00,9.609056043000237
8,90,2.30147625620551688e+00,7.34536480213674015e+00,10.757455670000127
9,100,2.30147625620551688e+00,3.41058772711867642e+00,11.87140585599991
10,110,2.30147625620551688e+00,4.70820045546667121e+00,13.021928187999947
11,120,2.30147625620551688e+00,4.63483521815089716e+00,14.140186116999757
12,130,2.30147625620551688e+00,5.62346948074646491e+00,15.461541065000347
13,140,2.30147625620551688e+00,4.29635040581772021e+00,16.66830423799911
14,150,2.30147625620551688e+00,3.73336397063818248e+00,17.805917487999977
15,160,2.30147625620551688e+00,4.04165092958953398e+00,18.918108009000207
16,170,2.30147625620551688e+00,3.08643026775209472e+00,20.058377109000503
17,180,2.30147625620551688e+00,3.63238310239952211e+00,21.1993469730005
18,190,2.30147625620551688e+00,3.04849299151716657e+00,22.360150059999796
19,200,2.30147625620551688e+00,3.77948726037243032e+00,23.5567347289998
20,210,2.30147625620551688e+00,3.86465382710706473e+00,24.76237586699972
21,220,2.30147625620551688e+00,3.76720142381853584e+00,25.97027870599959
22,230,2.30147625620551688e+00,3.09759194611973365e+00,27.1551581599997
23,240,2.30147625620551688e+00,3.04806203079718907e+00,28.40077935699992
24,250,2.30147625620551688e+00,4.24941566314969421e+00,29.61386525799935
25,260,2.12202094649656292e+00,2.12202094649656292e+00,30.960459341000387
26,270,2.12202094649656292e+00,2.33638607450629054e+00,32.154125175000445
27,280,2.12202094649656292e+00,2.48026604290660480e+00,33.32526462699934
28,290,2.12202094649656292e+00,2.94554265333231102e+00,34.49863421800001
29,300,2.12202094649656292e+00,3.04461284115696573e+00,35.679686855999535
30,310,2.11602719142174900e+00,2.11602719142174900e+00,36.849943719000294
31,320,1.84381644924898791e+00,1.84381644924898791e+00,38.045858114999646
32,330,1.59315885930153134e+00,1.59315885930153134e+00,39.296226992999436
33,340,1.59315885930153134e+00,3.50008174163554342e+00,40.4859800109989
34,350,1.59315885930153134e+00,2.65989236715569577e+00,41.670803359000274
35,360,1.59315885930153134e+00,1.72666473634349482e+00,42.87678016999962
36,370,1.59315885930153134e+00,1.97354146810499453e+00,44.0822648609992
37,380,1.59315885930153134e+00,2.39791422067419679e+00,45.30979665099949
38,390,1.59315885930153134e+00,1.91121496628881071e+00,46.52725457700035
39,400,1.43533018931043199e+00,1.43533018931043199e+00,47.74667354200028
40,410,1.43533018931043199e+00,1.54151782076395794e+00,48.95461422900007
41,420,1.43533018931043199e+00,1.69750083344689151e+00,50.16571851899971
42,430,1.43533018931043199e+00,1.98786832337844177e+00,51.372048623999945
43,440,1.25856774587773756e+00,1.25856774587773756e+00,52.58223484900009
44,450,1.04513213444980058e+00,1.04513213444980058e+00,53.78677693700047
45,460,1.04513213444980058e+00,1.25722489993068121e+00,54.990423399000065
46,470,1.04513213444980058e+00,1.06852448716182979e+00,56.19186559700029
47,480,8.97560248448581843e-01,8.97560248448581843e-01,57.38818337500015
48,490,7.61907815850127346e-01,7.61907815850127346e-01,58.59143785299966
49,500,7.61907815850127346e-01,8.59942627909289214e-01,59.78908528700049
50,510,7.61907815850127346e-01,1.03672115420049504e+00,60.99030132799999
51,520,6.18045985659129271e-01,6.18045985659129271e-01,62.19442819899996
52,530,6.18045985659129271e-01,1.15711126041113110e+00,63.402337292000084
53,540,6.18045985659129271e-01,8.96912984071456587e-01,64.61410719599917
54,550,4.26065619195838463e-01,4.26065619195838463e-01,65.87471239200022
